node,text,kind,Line,Column,Parental
mystery,"int mystery (int arr[], int size){
  int expectedSum = arr[0] + (arr[size - 1] * arr[size - 1] + 1) / 2;
  int actualSum = 0;
  for (int i : arr) {
    actualSum += i;
  }
  int result = expectedSum - actualSum;
  return result;
}",CursorKind.FUNCTION_DECL,1,5,CursorKind.TRANSLATION_UNIT(stim1.cpp)
arr,int arr[],CursorKind.PARM_DECL,1,18,CursorKind.TRANSLATION_UNIT(stim1.cpp)->CursorKind.FUNCTION_DECL(mystery)
size,int size,CursorKind.PARM_DECL,1,29,CursorKind.TRANSLATION_UNIT(stim1.cpp)->CursorKind.FUNCTION_DECL(mystery)
"{
  int expectedSum = arr[0] + (arr[size - 1] * arr[size - 1] + 1) / 2;
  int actualSum = 0;
  for (int i : arr) {
    actualSum += i;
  }
  int result = expectedSum - actualSum;
  return result;
}","{
  int expectedSum = arr[0] + (arr[size - 1] * arr[size - 1] + 1) / 2;
  int actualSum = 0;
  for (int i : arr) {
    actualSum += i;
  }
  int result = expectedSum - actualSum;
  return result;
}",CursorKind.COMPOUND_STMT,1,34,CursorKind.TRANSLATION_UNIT(stim1.cpp)->CursorKind.FUNCTION_DECL(mystery)
int expectedSum = arr[0] + (arr[size - 1] * arr[size - 1] + 1) / 2;,int expectedSum = arr[0] + (arr[size - 1] * arr[size - 1] + 1) / 2;,CursorKind.DECL_STMT,2,3,CursorKind.TRANSLATION_UNIT(stim1.cpp)->CursorKind.FUNCTION_DECL(mystery)->CursorKind.COMPOUND_STMT()
expectedSum,int expectedSum = arr[0] + (arr[size - 1] * arr[size - 1] + 1) / 2,CursorKind.VAR_DECL,2,7,CursorKind.TRANSLATION_UNIT(stim1.cpp)->CursorKind.FUNCTION_DECL(mystery)->CursorKind.COMPOUND_STMT()->CursorKind.DECL_STMT()
arr[0] + (arr[size - 1] * arr[size - 1] + 1) / 2,+,CursorKind.BINARY_OPERATOR,2,21,CursorKind.TRANSLATION_UNIT(stim1.cpp)->CursorKind.FUNCTION_DECL(mystery)->CursorKind.COMPOUND_STMT()->CursorKind.DECL_STMT()->CursorKind.VAR_DECL(expectedSum)
arr[0],arr[0],CursorKind.UNEXPOSED_EXPR,2,21,CursorKind.TRANSLATION_UNIT(stim1.cpp)->CursorKind.FUNCTION_DECL(mystery)->CursorKind.COMPOUND_STMT()->CursorKind.DECL_STMT()->CursorKind.VAR_DECL(expectedSum)->CursorKind.BINARY_OPERATOR()
arr[0],arr[0],CursorKind.ARRAY_SUBSCRIPT_EXPR,2,21,CursorKind.TRANSLATION_UNIT(stim1.cpp)->CursorKind.FUNCTION_DECL(mystery)->CursorKind.COMPOUND_STMT()->CursorKind.DECL_STMT()->CursorKind.VAR_DECL(expectedSum)->CursorKind.BINARY_OPERATOR()->CursorKind.UNEXPOSED_EXPR()
arr,arr,CursorKind.UNEXPOSED_EXPR,2,21,CursorKind.TRANSLATION_UNIT(stim1.cpp)->CursorKind.FUNCTION_DECL(mystery)->CursorKind.COMPOUND_STMT()->CursorKind.DECL_STMT()->CursorKind.VAR_DECL(expectedSum)->CursorKind.BINARY_OPERATOR()->CursorKind.UNEXPOSED_EXPR()->CursorKind.ARRAY_SUBSCRIPT_EXPR()
arr,arr,CursorKind.DECL_REF_EXPR,2,21,CursorKind.TRANSLATION_UNIT(stim1.cpp)->CursorKind.FUNCTION_DECL(mystery)->CursorKind.COMPOUND_STMT()->CursorKind.DECL_STMT()->CursorKind.VAR_DECL(expectedSum)->CursorKind.BINARY_OPERATOR()->CursorKind.UNEXPOSED_EXPR()->CursorKind.ARRAY_SUBSCRIPT_EXPR()->CursorKind.UNEXPOSED_EXPR(arr)
0,0,CursorKind.INTEGER_LITERAL,2,25,CursorKind.TRANSLATION_UNIT(stim1.cpp)->CursorKind.FUNCTION_DECL(mystery)->CursorKind.COMPOUND_STMT()->CursorKind.DECL_STMT()->CursorKind.VAR_DECL(expectedSum)->CursorKind.BINARY_OPERATOR()->CursorKind.UNEXPOSED_EXPR()->CursorKind.ARRAY_SUBSCRIPT_EXPR()
(arr[size - 1] * arr[size - 1] + 1) / 2,+,CursorKind.BINARY_OPERATOR,2,30,CursorKind.TRANSLATION_UNIT(stim1.cpp)->CursorKind.FUNCTION_DECL(mystery)->CursorKind.COMPOUND_STMT()->CursorKind.DECL_STMT()->CursorKind.VAR_DECL(expectedSum)->CursorKind.BINARY_OPERATOR()
(arr[size - 1] * arr[size - 1] + 1),(arr[size - 1] * arr[size - 1] + 1),CursorKind.PAREN_EXPR,2,30,CursorKind.TRANSLATION_UNIT(stim1.cpp)->CursorKind.FUNCTION_DECL(mystery)->CursorKind.COMPOUND_STMT()->CursorKind.DECL_STMT()->CursorKind.VAR_DECL(expectedSum)->CursorKind.BINARY_OPERATOR()->CursorKind.BINARY_OPERATOR()
arr[size - 1] * arr[size - 1] + 1,+,CursorKind.BINARY_OPERATOR,2,31,CursorKind.TRANSLATION_UNIT(stim1.cpp)->CursorKind.FUNCTION_DECL(mystery)->CursorKind.COMPOUND_STMT()->CursorKind.DECL_STMT()->CursorKind.VAR_DECL(expectedSum)->CursorKind.BINARY_OPERATOR()->CursorKind.BINARY_OPERATOR()->CursorKind.PAREN_EXPR()
arr[size - 1] * arr[size - 1],-,CursorKind.BINARY_OPERATOR,2,31,CursorKind.TRANSLATION_UNIT(stim1.cpp)->CursorKind.FUNCTION_DECL(mystery)->CursorKind.COMPOUND_STMT()->CursorKind.DECL_STMT()->CursorKind.VAR_DECL(expectedSum)->CursorKind.BINARY_OPERATOR()->CursorKind.BINARY_OPERATOR()->CursorKind.PAREN_EXPR()->CursorKind.BINARY_OPERATOR()
arr[size - 1],arr[size - 1],CursorKind.UNEXPOSED_EXPR,2,31,CursorKind.TRANSLATION_UNIT(stim1.cpp)->CursorKind.FUNCTION_DECL(mystery)->CursorKind.COMPOUND_STMT()->CursorKind.DECL_STMT()->CursorKind.VAR_DECL(expectedSum)->CursorKind.BINARY_OPERATOR()->CursorKind.BINARY_OPERATOR()->CursorKind.PAREN_EXPR()->CursorKind.BINARY_OPERATOR()->CursorKind.BINARY_OPERATOR()
