node,Line,Column,semanic,controlnum,feature,complexity
std.1,3,17,USING_DIRECTIVE->ref,0,dec,0
std.2,4,1,func_dec,0,dec,2
vector.1,4,6,func_dec,0,dec,2
sequence.1,4,18,func_dec,0,dec,2
start.1,4,31,func_dec,0,dec,2
end.1,4,42,func_dec,0,dec,2
diff.1,4,51,func_dec,0,dec,2
std.3,5,3,func_dec->compound->dec->var_dec,0,dec,1
vector.2,5,8,func_dec->compound->dec->var_dec,0,dec,1
result.1,5,20,func_dec->compound->dec->var_dec,0,dec,1
vector.3,5,20,func_dec->compound->dec->var_dec,0,dec,1
if.1,6,3,func_dec->compound->if,1,control,1
start.2,6,7,func_dec->compound->if,1,control,1
end.2,6,15,func_dec->compound->if,1,control,1
return.1,7,3,func_dec->compound->if->compound->return,1,return,0
vector.4,7,10,func_dec->compound->if->compound->return,1,return,0
result.2,7,10,func_dec->compound->if->compound->return,1,return,0
while.1,9,3,func_dec->compound->if->compound->while,2,control,1
start.3,9,10,func_dec->compound->if->compound->while,2,control,1
end.3,9,19,func_dec->compound->if->compound->while,2,control,1
push_back.1,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1
result.push_back.1,10,10,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1
end.4,10,20,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1
end.5,11,3,func_dec->compound->if->compound->while->compound->coumpund_assign->ref_dec,2,dec,1
diff.2,11,10,func_dec->compound->if->compound->while->compound->coumpund_assign->ref_dec,2,dec,1
return.2,13,3,func_dec->compound->if->compound->return,1,return,0
vector.5,13,10,func_dec->compound->if->compound->return,1,return,0
result.4,13,10,func_dec->compound->if->compound->return,1,return,0
