node,Line,Column,semanic,controlnum,feature,complexity
std.1,3,17,USING_DIRECTIVE->ref,0,dec,0
compute.1,4,8,func_dec,0,dec,1
n.1,4,20,func_dec,0,dec,1
output.1,5,10,func_dec->compound->dec->var_dec,0,dec,0
0.0.1,5,19,func_dec->compound->dec->var_dec,0,dec,0
i.1,6,12,func_dec->compound->FOR_STMT->unary,0,cal,2
1.1,6,16,func_dec->compound->FOR_STMT->unary,0,cal,2
i.2,6,19,func_dec->compound->FOR_STMT->unary,0,cal,2
n.2,6,24,func_dec->compound->FOR_STMT->unary,0,cal,2
++i.1,6,27,func_dec->compound->FOR_STMT->unary,0,cal,2
i.3,6,29,func_dec->compound->FOR_STMT->unary,0,cal,2
if.1,7,5,func_dec->compound->FOR_STMT->compound->if,1,control,2
i.4,7,8,func_dec->compound->FOR_STMT->compound->if,1,control,2
2.1,7,12,func_dec->compound->FOR_STMT->compound->if,1,control,2
0.1,7,17,func_dec->compound->FOR_STMT->compound->if,1,control,2
output.2,8,5,func_dec->compound->FOR_STMT->compound->if->compound->coumpund_assign->ref_dec,1,dec,3
1.2,8,14,func_dec->compound->FOR_STMT->compound->if->compound->coumpund_assign->ref_dec,1,dec,3
pow.1,8,18,func_dec->compound->FOR_STMT->compound->if->compound->coumpund_assign->ref_dec,1,dec,3
i.5,8,23,func_dec->compound->FOR_STMT->compound->if->compound->coumpund_assign->ref_dec,1,dec,3
2.0.1,8,26,func_dec->compound->FOR_STMT->compound->if->compound->coumpund_assign->ref_dec,1,dec,3
output.3,10,5,func_dec->compound->FOR_STMT->compound->if->compound->coumpund_assign->ref_dec,1,dec,3
1.3,10,15,func_dec->compound->FOR_STMT->compound->if->compound->coumpund_assign->ref_dec,1,dec,3
pow.2,10,19,func_dec->compound->FOR_STMT->compound->if->compound->coumpund_assign->ref_dec,1,dec,3
i.6,10,24,func_dec->compound->FOR_STMT->compound->if->compound->coumpund_assign->ref_dec,1,dec,3
2.0.2,10,27,func_dec->compound->FOR_STMT->compound->if->compound->coumpund_assign->ref_dec,1,dec,3
return.1,13,3,func_dec->compound->return,0,return,0
output.4,13,10,func_dec->compound->return,0,return,0
