node,text,kind,Line,Column,Parental
std,std,CursorKind.NAMESPACE_REF,2,17,CursorKind.TRANSLATION_UNIT(stim16.cpp)->CursorKind.USING_DIRECTIVE()
afunc,"bool afunc(const std::vector<int>& numbers, int target){
  int count = 0;
  for (int num : numbers){
    if (num == target){
      count++;
      if(count == 3){
        return true;
      }
   }
 }
  return false;
}",CursorKind.FUNCTION_DECL,3,6,CursorKind.TRANSLATION_UNIT(stim16.cpp)
numbers,const std::vector<int>& numbers,CursorKind.PARM_DECL,3,36,CursorKind.TRANSLATION_UNIT(stim16.cpp)->CursorKind.FUNCTION_DECL(afunc)
std,std,CursorKind.NAMESPACE_REF,3,18,CursorKind.TRANSLATION_UNIT(stim16.cpp)->CursorKind.FUNCTION_DECL(afunc)->CursorKind.PARM_DECL(numbers)
vector,vector,CursorKind.TEMPLATE_REF,3,23,CursorKind.TRANSLATION_UNIT(stim16.cpp)->CursorKind.FUNCTION_DECL(afunc)->CursorKind.PARM_DECL(numbers)
target,int target,CursorKind.PARM_DECL,3,49,CursorKind.TRANSLATION_UNIT(stim16.cpp)->CursorKind.FUNCTION_DECL(afunc)
count,int count = 0,CursorKind.VAR_DECL,4,7,CursorKind.TRANSLATION_UNIT(stim16.cpp)->CursorKind.FUNCTION_DECL(afunc)->CursorKind.COMPOUND_STMT()->CursorKind.DECL_STMT()
0,0,CursorKind.INTEGER_LITERAL,4,15,CursorKind.TRANSLATION_UNIT(stim16.cpp)->CursorKind.FUNCTION_DECL(afunc)->CursorKind.COMPOUND_STMT()->CursorKind.DECL_STMT()->CursorKind.VAR_DECL(count)
for,for,CursorKind.CXX_FOR_RANGE_STMT,5,3,CursorKind.TRANSLATION_UNIT(stim16.cpp)->CursorKind.FUNCTION_DECL(afunc)->CursorKind.COMPOUND_STMT()
num,int num :,CursorKind.VAR_DECL,5,12,CursorKind.TRANSLATION_UNIT(stim16.cpp)->CursorKind.FUNCTION_DECL(afunc)->CursorKind.COMPOUND_STMT()->CursorKind.CXX_FOR_RANGE_STMT()
:,:,CursorKind.UNEXPOSED_EXPR,5,16,CursorKind.TRANSLATION_UNIT(stim16.cpp)->CursorKind.FUNCTION_DECL(afunc)->CursorKind.COMPOUND_STMT()->CursorKind.CXX_FOR_RANGE_STMT()->CursorKind.VAR_DECL(num)
numbers,numbers,CursorKind.DECL_REF_EXPR,5,18,CursorKind.TRANSLATION_UNIT(stim16.cpp)->CursorKind.FUNCTION_DECL(afunc)->CursorKind.COMPOUND_STMT()->CursorKind.CXX_FOR_RANGE_STMT()
if,if,CursorKind.IF_STMT,6,5,CursorKind.TRANSLATION_UNIT(stim16.cpp)->CursorKind.FUNCTION_DECL(afunc)->CursorKind.COMPOUND_STMT()->CursorKind.CXX_FOR_RANGE_STMT()->CursorKind.COMPOUND_STMT()
num,num,CursorKind.UNEXPOSED_EXPR,6,9,CursorKind.TRANSLATION_UNIT(stim16.cpp)->CursorKind.FUNCTION_DECL(afunc)->CursorKind.COMPOUND_STMT()->CursorKind.CXX_FOR_RANGE_STMT()->CursorKind.COMPOUND_STMT()->CursorKind.IF_STMT()->CursorKind.BINARY_OPERATOR()
