node,text,kind,Line,Column,Parental
n,n,CursorKind.DECL_REF_EXPR,7,9,CursorKind.TRANSLATION_UNIT(stim17.cpp) -> CursorKind.FUNCTION_DECL(main) -> CursorKind.COMPOUND_STMT() -> CursorKind.FOR_STMT() -> CursorKind.COMPOUND_STMT() -> CursorKind.CALL_EXPR(operator<<) -> CursorKind.CALL_EXPR(operator<<) -> CursorKind.UNEXPOSED_EXPR(n)
operator<<,<<,CursorKind.UNEXPOSED_EXPR,7,10,CursorKind.TRANSLATION_UNIT(stim17.cpp) -> CursorKind.FUNCTION_DECL(main) -> CursorKind.COMPOUND_STMT() -> CursorKind.FOR_STMT() -> CursorKind.COMPOUND_STMT() -> CursorKind.CALL_EXPR(operator<<)
operator<<,<<,CursorKind.DECL_REF_EXPR,7,10,CursorKind.TRANSLATION_UNIT(stim17.cpp) -> CursorKind.FUNCTION_DECL(main) -> CursorKind.COMPOUND_STMT() -> CursorKind.FOR_STMT() -> CursorKind.COMPOUND_STMT() -> CursorKind.CALL_EXPR(operator<<) -> CursorKind.UNEXPOSED_EXPR(operator<<)
""", """,""", """,CursorKind.UNEXPOSED_EXPR,7,12,CursorKind.TRANSLATION_UNIT(stim17.cpp) -> CursorKind.FUNCTION_DECL(main) -> CursorKind.COMPOUND_STMT() -> CursorKind.FOR_STMT() -> CursorKind.COMPOUND_STMT() -> CursorKind.CALL_EXPR(operator<<)
""", """,""", """,CursorKind.STRING_LITERAL,7,12,CursorKind.TRANSLATION_UNIT(stim17.cpp) -> CursorKind.FUNCTION_DECL(main) -> CursorKind.COMPOUND_STMT() -> CursorKind.FOR_STMT() -> CursorKind.COMPOUND_STMT() -> CursorKind.CALL_EXPR(operator<<) -> CursorKind.UNEXPOSED_EXPR()
"if(n==3)
  {
  cout<<""countdonw aborted!"";
  break;
  }","if(n==3)
  {
  cout<<""countdonw aborted!"";
  break;
  }",CursorKind.IF_STMT,8,3,CursorKind.TRANSLATION_UNIT(stim17.cpp) -> CursorKind.FUNCTION_DECL(main) -> CursorKind.COMPOUND_STMT() -> CursorKind.FOR_STMT() -> CursorKind.COMPOUND_STMT()
n==3,n==3,CursorKind.BINARY_OPERATOR,8,6,CursorKind.TRANSLATION_UNIT(stim17.cpp) -> CursorKind.FUNCTION_DECL(main) -> CursorKind.COMPOUND_STMT() -> CursorKind.FOR_STMT() -> CursorKind.COMPOUND_STMT() -> CursorKind.IF_STMT()
n,n,CursorKind.UNEXPOSED_EXPR,8,6,CursorKind.TRANSLATION_UNIT(stim17.cpp) -> CursorKind.FUNCTION_DECL(main) -> CursorKind.COMPOUND_STMT() -> CursorKind.FOR_STMT() -> CursorKind.COMPOUND_STMT() -> CursorKind.IF_STMT() -> CursorKind.BINARY_OPERATOR()
n,n,CursorKind.DECL_REF_EXPR,8,6,CursorKind.TRANSLATION_UNIT(stim17.cpp) -> CursorKind.FUNCTION_DECL(main) -> CursorKind.COMPOUND_STMT() -> CursorKind.FOR_STMT() -> CursorKind.COMPOUND_STMT() -> CursorKind.IF_STMT() -> CursorKind.BINARY_OPERATOR() -> CursorKind.UNEXPOSED_EXPR(n)
3,3,CursorKind.INTEGER_LITERAL,8,9,CursorKind.TRANSLATION_UNIT(stim17.cpp) -> CursorKind.FUNCTION_DECL(main) -> CursorKind.COMPOUND_STMT() -> CursorKind.FOR_STMT() -> CursorKind.COMPOUND_STMT() -> CursorKind.IF_STMT() -> CursorKind.BINARY_OPERATOR()
"{
  cout<<""countdonw aborted!"";
  break;
  }","{
  cout<<""countdonw aborted!"";
  break;
  }",CursorKind.COMPOUND_STMT,9,3,CursorKind.TRANSLATION_UNIT(stim17.cpp) -> CursorKind.FUNCTION_DECL(main) -> CursorKind.COMPOUND_STMT() -> CursorKind.FOR_STMT() -> CursorKind.COMPOUND_STMT() -> CursorKind.IF_STMT()
operator<<,"cout<<""countdonw aborted!""",CursorKind.CALL_EXPR,10,3,CursorKind.TRANSLATION_UNIT(stim17.cpp) -> CursorKind.FUNCTION_DECL(main) -> CursorKind.COMPOUND_STMT() -> CursorKind.FOR_STMT() -> CursorKind.COMPOUND_STMT() -> CursorKind.IF_STMT() -> CursorKind.COMPOUND_STMT()
cout,cout,CursorKind.DECL_REF_EXPR,10,3,CursorKind.TRANSLATION_UNIT(stim17.cpp) -> CursorKind.FUNCTION_DECL(main) -> CursorKind.COMPOUND_STMT() -> CursorKind.FOR_STMT() -> CursorKind.COMPOUND_STMT() -> CursorKind.IF_STMT() -> CursorKind.COMPOUND_STMT() -> CursorKind.CALL_EXPR(operator<<)
operator<<,<<,CursorKind.UNEXPOSED_EXPR,10,7,CursorKind.TRANSLATION_UNIT(stim17.cpp) -> CursorKind.FUNCTION_DECL(main) -> CursorKind.COMPOUND_STMT() -> CursorKind.FOR_STMT() -> CursorKind.COMPOUND_STMT() -> CursorKind.IF_STMT() -> CursorKind.COMPOUND_STMT() -> CursorKind.CALL_EXPR(operator<<)
operator<<,<<,CursorKind.DECL_REF_EXPR,10,7,CursorKind.TRANSLATION_UNIT(stim17.cpp) -> CursorKind.FUNCTION_DECL(main) -> CursorKind.COMPOUND_STMT() -> CursorKind.FOR_STMT() -> CursorKind.COMPOUND_STMT() -> CursorKind.IF_STMT() -> CursorKind.COMPOUND_STMT() -> CursorKind.CALL_EXPR(operator<<) -> CursorKind.UNEXPOSED_EXPR(operator<<)
"""countdonw aborted!""","""countdonw aborted!""",CursorKind.UNEXPOSED_EXPR,10,9,CursorKind.TRANSLATION_UNIT(stim17.cpp) -> CursorKind.FUNCTION_DECL(main) -> CursorKind.COMPOUND_STMT() -> CursorKind.FOR_STMT() -> CursorKind.COMPOUND_STMT() -> CursorKind.IF_STMT() -> CursorKind.COMPOUND_STMT() -> CursorKind.CALL_EXPR(operator<<)
"""countdonw aborted!""","""countdonw aborted!""",CursorKind.STRING_LITERAL,10,9,CursorKind.TRANSLATION_UNIT(stim17.cpp) -> CursorKind.FUNCTION_DECL(main) -> CursorKind.COMPOUND_STMT() -> CursorKind.FOR_STMT() -> CursorKind.COMPOUND_STMT() -> CursorKind.IF_STMT() -> CursorKind.COMPOUND_STMT() -> CursorKind.CALL_EXPR(operator<<) -> CursorKind.UNEXPOSED_EXPR()
break,break,CursorKind.BREAK_STMT,11,3,CursorKind.TRANSLATION_UNIT(stim17.cpp) -> CursorKind.FUNCTION_DECL(main) -> CursorKind.COMPOUND_STMT() -> CursorKind.FOR_STMT() -> CursorKind.COMPOUND_STMT() -> CursorKind.IF_STMT() -> CursorKind.COMPOUND_STMT()
