token,line,column,semantic,controlnum,feature,complexity,section
end.3_<=.1,9,19,func_dec->compound->if->compound->while,2,control,1,0.006
result.1,5,20,func_dec->compound->dec->var_dec,0,dec,1,0.012
sequence.1_int.1,4,18,func_dec,0,dec,2,0.018
diff.1,4,51,func_dec,0,dec,2,0.024
return.1,7,3,func_dec->compound->if->compound->return,1,return,0,0.03
result.2,7,10,func_dec->compound->if->compound->return,1,return,0,0.036
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1,0.042
diff.2_-=.1,11,10,func_dec->compound->if->compound->while->compound->coumpund_assign->ref_dec,2,dec,1,0.048
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1,0.054
while.1,9,3,func_dec->compound->if->compound->while,2,control,1,0.06
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1,0.065
diff.2,11,10,func_dec->compound->if->compound->while->compound->coumpund_assign->ref_dec,2,dec,1,0.071
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1,0.077
diff.2,11,10,func_dec->compound->if->compound->while->compound->coumpund_assign->ref_dec,2,dec,1,0.083
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1,0.089
diff.2_-=.1,11,10,func_dec->compound->if->compound->while->compound->coumpund_assign->ref_dec,2,dec,1,0.095
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1,0.101
diff.2_-=.1,11,10,func_dec->compound->if->compound->while->compound->coumpund_assign->ref_dec,2,dec,1,0.107
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1,0.113
end.3_<=.1,9,19,func_dec->compound->if->compound->while,2,control,1,0.119
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1,0.125
diff.2,11,10,func_dec->compound->if->compound->while->compound->coumpund_assign->ref_dec,2,dec,1,0.131
end.3_<=.1,9,19,func_dec->compound->if->compound->while,2,control,1,0.137
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1,0.143
start.3,9,10,func_dec->compound->if->compound->while,2,control,1,0.149
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1,0.155
start.3,9,10,func_dec->compound->if->compound->while,2,control,1,0.161
start.3,9,10,func_dec->compound->if->compound->while,2,control,1,0.167
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1,0.173
end.3_<=.1,9,19,func_dec->compound->if->compound->while,2,control,1,0.179
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1,0.185
diff.2,11,10,func_dec->compound->if->compound->while->compound->coumpund_assign->ref_dec,2,dec,1,0.19
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1,0.196
diff.2,11,10,func_dec->compound->if->compound->while->compound->coumpund_assign->ref_dec,2,dec,1,0.202
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1,0.208
end.3_<=.1,9,19,func_dec->compound->if->compound->while,2,control,1,0.214
diff.2,11,10,func_dec->compound->if->compound->while->compound->coumpund_assign->ref_dec,2,dec,1,0.22
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1,0.226
diff.2,11,10,func_dec->compound->if->compound->while->compound->coumpund_assign->ref_dec,2,dec,1,0.232
start.3,9,10,func_dec->compound->if->compound->while,2,control,1,0.238
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1,0.244
end.3,9,19,func_dec->compound->if->compound->while,2,control,1,0.25
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1,0.256
diff.2,11,10,func_dec->compound->if->compound->while->compound->coumpund_assign->ref_dec,2,dec,1,0.262
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1,0.268
diff.2,11,10,func_dec->compound->if->compound->while->compound->coumpund_assign->ref_dec,2,dec,1,0.274
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1,0.28
diff.2,11,10,func_dec->compound->if->compound->while->compound->coumpund_assign->ref_dec,2,dec,1,0.286
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1,0.292
diff.2,11,10,func_dec->compound->if->compound->while->compound->coumpund_assign->ref_dec,2,dec,1,0.298
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1,0.304
diff.2,11,10,func_dec->compound->if->compound->while->compound->coumpund_assign->ref_dec,2,dec,1,0.31
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1,0.315
start.3,9,10,func_dec->compound->if->compound->while,2,control,1,0.321
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1,0.327
diff.2,11,10,func_dec->compound->if->compound->while->compound->coumpund_assign->ref_dec,2,dec,1,0.333
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1,0.339
diff.2,11,10,func_dec->compound->if->compound->while->compound->coumpund_assign->ref_dec,2,dec,1,0.345
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1,0.351
diff.2,11,10,func_dec->compound->if->compound->while->compound->coumpund_assign->ref_dec,2,dec,1,0.357
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1,0.363
diff.2,11,10,func_dec->compound->if->compound->while->compound->coumpund_assign->ref_dec,2,dec,1,0.369
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1,0.375
diff.2,11,10,func_dec->compound->if->compound->while->compound->coumpund_assign->ref_dec,2,dec,1,0.381
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1,0.387
diff.2,11,10,func_dec->compound->if->compound->while->compound->coumpund_assign->ref_dec,2,dec,1,0.393
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1,0.399
diff.2_-=.1,11,10,func_dec->compound->if->compound->while->compound->coumpund_assign->ref_dec,2,dec,1,0.405
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1,0.411
diff.2_-=.1,11,10,func_dec->compound->if->compound->while->compound->coumpund_assign->ref_dec,2,dec,1,0.417
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1,0.423
diff.2,11,10,func_dec->compound->if->compound->while->compound->coumpund_assign->ref_dec,2,dec,1,0.429
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1,0.435
diff.2_-=.1,11,10,func_dec->compound->if->compound->while->compound->coumpund_assign->ref_dec,2,dec,1,0.44
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1,0.446
