token,line,column,semantic,controlnum,feature,complexity,section
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1,0.04
while.1,9,3,func_dec->compound->if->compound->while,2,control,1,0.08
std.3_std::vector<int>.2,5,3,func_dec->compound->dec->var_dec,0,dec,1,0.12
end.2,6,15,func_dec->compound->if,1,control,1,0.16
result.2,7,10,func_dec->compound->if->compound->return,1,return,0,0.2
end.2,6,15,func_dec->compound->if,1,control,1,0.24
end.5,11,3,func_dec->compound->if->compound->while->compound->coumpund_assign->ref_dec,2,dec,1,0.28
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1,0.32
start.3,9,10,func_dec->compound->if->compound->while,2,control,1,0.36
result.2,7,10,func_dec->compound->if->compound->return,1,return,0,0.4
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1,0.44
end.1,4,42,func_dec,0,dec,2,0.48
diff.1,4,51,func_dec,0,dec,2,0.52
end.1,4,42,func_dec,0,dec,2,0.56
diff.1,4,51,func_dec,0,dec,2,0.6
end.5,11,3,func_dec->compound->if->compound->while->compound->coumpund_assign->ref_dec,2,dec,1,0.64
diff.2,11,10,func_dec->compound->if->compound->while->compound->coumpund_assign->ref_dec,2,dec,1,0.68
end.5,11,3,func_dec->compound->if->compound->while->compound->coumpund_assign->ref_dec,2,dec,1,0.72
return.2,13,3,func_dec->compound->if->compound->return,1,return,0,0.76
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1,0.8
diff.2_-=.1,11,10,func_dec->compound->if->compound->while->compound->coumpund_assign->ref_dec,2,dec,1,0.84
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1,0.88
diff.2,11,10,func_dec->compound->if->compound->while->compound->coumpund_assign->ref_dec,2,dec,1,0.92
diff.1,4,51,func_dec,0,dec,2,0.96
diff.1,4,51,func_dec,0,dec,2,1.0
