token,line,column,semantic,controlnum,feature,complexity,section
cout.2,5,8,class_dec->cons->compound->label,0,dec,0,0.062
Point.1,2,7,class_dec,0,dec,0,0.125
Point.2_().1,4,3,class_dec->cons,0,dec,1,0.188
cout.2,5,8,class_dec->cons->compound->label,0,dec,0,0.25
Point.1,2,7,class_dec,0,dec,0,0.312
public:.1_public.1,3,3,class_dec->spec_dec,0,dec,0,0.375
cout.2,5,8,class_dec->cons->compound->label,0,dec,0,0.438
Point.1,2,7,class_dec,0,dec,0,0.5
public:.1_public.1,3,3,class_dec->spec_dec,0,dec,0,0.562
std.1,5,5,class_dec->cons->compound->label,0,dec,0,0.625
cout.2,5,8,class_dec->cons->compound->label,0,dec,0,0.688
std.1,5,5,class_dec->cons->compound->label,0,dec,0,0.75
cout.2,5,8,class_dec->cons->compound->label,0,dec,0,0.812
main.1,9,5,func_dec,0,dec,1,0.875
t1.1,11,9,func_dec->compound->dec->var_dec,0,dec,1,0.938
cout.2,5,8,class_dec->cons->compound->label,0,dec,0,1.0
