token,line,column,semantic,controlnum,feature,complexity,section
switch.1,2,3,func_dec->compound->switch,1,control,1,0.015
operate.1_long.2,1,11,func_dec,0,dec,1,0.03
mystery2.3,15,14,func_dec->compound->switch->compound->return,1,return,0,0.045
mystery3.1,11,19,func_dec->compound->switch->compound->for->compound->dec->var_dec,2,dec,3,0.06
0.2,4,14,func_dec->compound->switch->compound->case->return,1,return,0,0.075
1.2,6,14,func_dec->compound->switch->compound->case->return,1,return,0,0.09
return.2,6,7,func_dec->compound->switch->compound->case->return,1,return,0,0.104
case.2,5,5,func_dec->compound->switch->compound->case,1,control,0,0.119
1.1,5,10,func_dec->compound->switch->compound->case,1,control,0,0.134
1.2,6,14,func_dec->compound->switch->compound->case->return,1,return,0,0.149
mystery3.1_long.8,11,19,func_dec->compound->switch->compound->for->compound->dec->var_dec,2,dec,3,0.164
return.2,6,7,func_dec->compound->switch->compound->case->return,1,return,0,0.179
1.1,5,10,func_dec->compound->switch->compound->case,1,control,0,0.194
return.2,6,7,func_dec->compound->switch->compound->case->return,1,return,0,0.209
case.2,5,5,func_dec->compound->switch->compound->case,1,control,0,0.224
1.2,6,14,func_dec->compound->switch->compound->case->return,1,return,0,0.239
return.2,6,7,func_dec->compound->switch->compound->case->return,1,return,0,0.254
i.1_int.2,10,16,func_dec->compound->switch->compound->for->bi_op,2,cal,2,0.269
mystery1.1_long.4,8,17,func_dec->compound->switch->compound->default->dec->var_dec,1,dec,0,0.284
1.2,6,14,func_dec->compound->switch->compound->case->return,1,return,0,0.299
return.2,6,7,func_dec->compound->switch->compound->case->return,1,return,0,0.313
mystery2.1_long.6,9,17,func_dec->compound->switch->compound->dec->var_dec,1,dec,0,0.328
mystery1.1_long.4,8,17,func_dec->compound->switch->compound->default->dec->var_dec,1,dec,0,0.343
mystery2.3_mystery2.4,15,14,func_dec->compound->switch->compound->return,1,return,0,0.358
return.2,6,7,func_dec->compound->switch->compound->case->return,1,return,0,0.373
return.1,4,7,func_dec->compound->switch->compound->case->return,1,return,0,0.388
case.2,5,5,func_dec->compound->switch->compound->case,1,control,0,0.403
return.2,6,7,func_dec->compound->switch->compound->case->return,1,return,0,0.418
1.1,5,10,func_dec->compound->switch->compound->case,1,control,0,0.433
return.2,6,7,func_dec->compound->switch->compound->case->return,1,return,0,0.448
mystery1.1,8,17,func_dec->compound->switch->compound->default->dec->var_dec,1,dec,0,0.463
mystery2.1,9,17,func_dec->compound->switch->compound->dec->var_dec,1,dec,0,0.478
2.1,10,18,func_dec->compound->switch->compound->for->bi_op,2,cal,2,0.493
mystery2.1,9,17,func_dec->compound->switch->compound->dec->var_dec,1,dec,0,0.507
i.1_=.3,10,16,func_dec->compound->switch->compound->for->bi_op,2,cal,2,0.522
mystery2.1,9,17,func_dec->compound->switch->compound->dec->var_dec,1,dec,0,0.537
mystery3.1_long.8,11,19,func_dec->compound->switch->compound->for->compound->dec->var_dec,2,dec,3,0.552
=.1_mystery1.3,13,9,func_dec->compound->switch->compound->for->compound->bi_op,2,cal,3,0.567
mystery2.3,15,14,func_dec->compound->switch->compound->return,1,return,0,0.582
mystery3.2,13,18,func_dec->compound->switch->compound->for->compound->bi_op,2,cal,3,0.597
mystery2.3,15,14,func_dec->compound->switch->compound->return,1,return,0,0.612
mystery3.2,13,18,func_dec->compound->switch->compound->for->compound->bi_op,2,cal,3,0.627
mystery3.1_long.8,11,19,func_dec->compound->switch->compound->for->compound->dec->var_dec,2,dec,3,0.642
mystery3.2,13,18,func_dec->compound->switch->compound->for->compound->bi_op,2,cal,3,0.657
mystery2.3,15,14,func_dec->compound->switch->compound->return,1,return,0,0.672
mystery3.2,13,18,func_dec->compound->switch->compound->for->compound->bi_op,2,cal,3,0.687
mystery2.3,15,14,func_dec->compound->switch->compound->return,1,return,0,0.701
mystery3.2,13,18,func_dec->compound->switch->compound->for->compound->bi_op,2,cal,3,0.716
mystery3.2,13,18,func_dec->compound->switch->compound->for->compound->bi_op,2,cal,3,0.731
mystery2.3,15,14,func_dec->compound->switch->compound->return,1,return,0,0.746
mystery3.2,13,18,func_dec->compound->switch->compound->for->compound->bi_op,2,cal,3,0.761
mystery1.1_long.4,8,17,func_dec->compound->switch->compound->default->dec->var_dec,1,dec,0,0.776
mystery1.1,8,17,func_dec->compound->switch->compound->default->dec->var_dec,1,dec,0,0.791
i.1,10,16,func_dec->compound->switch->compound->for->bi_op,2,cal,2,0.806
mystery3.1_long.8,11,19,func_dec->compound->switch->compound->for->compound->dec->var_dec,2,dec,3,0.821
mystery3.1,11,19,func_dec->compound->switch->compound->for->compound->dec->var_dec,2,dec,3,0.836
mystery3.2_=.5,13,18,func_dec->compound->switch->compound->for->compound->bi_op,2,cal,3,0.851
mystery3.2,13,18,func_dec->compound->switch->compound->for->compound->bi_op,2,cal,3,0.866
i.1,10,16,func_dec->compound->switch->compound->for->bi_op,2,cal,2,0.881
mystery2.3,15,14,func_dec->compound->switch->compound->return,1,return,0,0.896
mystery3.2,13,18,func_dec->compound->switch->compound->for->compound->bi_op,2,cal,3,0.91
mystery1.2,11,28,func_dec->compound->switch->compound->for->compound->dec->var_dec,2,dec,3,0.925
mystery3.2,13,18,func_dec->compound->switch->compound->for->compound->bi_op,2,cal,3,0.94
mystery1.2,11,28,func_dec->compound->switch->compound->for->compound->dec->var_dec,2,dec,3,0.955
mystery3.2,13,18,func_dec->compound->switch->compound->for->compound->bi_op,2,cal,3,0.97
mystery1.2,11,28,func_dec->compound->switch->compound->for->compound->dec->var_dec,2,dec,3,0.985
=.1,13,9,func_dec->compound->switch->compound->for->compound->bi_op,2,cal,3,1.0
