token,line,column,semantic,controlnum,feature,complexity,section,stimuli,pid
end.3_<=.1,9,19,func_dec->compound->if->compound->while,2,control,1,0.006,13,1
result.1,5,20,func_dec->compound->dec->var_dec,0,dec,1,0.012,13,1
sequence.1_int.1,4,18,func_dec,0,dec,2,0.018,13,1
diff.1,4,51,func_dec,0,dec,2,0.024,13,1
return.1,7,3,func_dec->compound->if->compound->return,1,return,0,0.03,13,1
result.2,7,10,func_dec->compound->if->compound->return,1,return,0,0.036,13,1
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1,0.042,13,1
diff.2_-=.1,11,10,func_dec->compound->if->compound->while->compound->coumpund_assign->ref_dec,2,dec,1,0.048,13,1
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1,0.054,13,1
while.1,9,3,func_dec->compound->if->compound->while,2,control,1,0.06,13,1
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1,0.065,13,1
diff.2,11,10,func_dec->compound->if->compound->while->compound->coumpund_assign->ref_dec,2,dec,1,0.071,13,1
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1,0.077,13,1
diff.2,11,10,func_dec->compound->if->compound->while->compound->coumpund_assign->ref_dec,2,dec,1,0.083,13,1
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1,0.089,13,1
diff.2_-=.1,11,10,func_dec->compound->if->compound->while->compound->coumpund_assign->ref_dec,2,dec,1,0.095,13,1
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1,0.101,13,1
diff.2_-=.1,11,10,func_dec->compound->if->compound->while->compound->coumpund_assign->ref_dec,2,dec,1,0.107,13,1
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1,0.113,13,1
end.3_<=.1,9,19,func_dec->compound->if->compound->while,2,control,1,0.119,13,1
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1,0.125,13,1
diff.2,11,10,func_dec->compound->if->compound->while->compound->coumpund_assign->ref_dec,2,dec,1,0.131,13,1
end.3_<=.1,9,19,func_dec->compound->if->compound->while,2,control,1,0.137,13,1
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1,0.143,13,1
start.3,9,10,func_dec->compound->if->compound->while,2,control,1,0.149,13,1
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1,0.155,13,1
start.3,9,10,func_dec->compound->if->compound->while,2,control,1,0.161,13,1
start.3,9,10,func_dec->compound->if->compound->while,2,control,1,0.167,13,1
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1,0.173,13,1
end.3_<=.1,9,19,func_dec->compound->if->compound->while,2,control,1,0.179,13,1
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1,0.185,13,1
diff.2,11,10,func_dec->compound->if->compound->while->compound->coumpund_assign->ref_dec,2,dec,1,0.19,13,1
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1,0.196,13,1
diff.2,11,10,func_dec->compound->if->compound->while->compound->coumpund_assign->ref_dec,2,dec,1,0.202,13,1
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1,0.208,13,1
end.3_<=.1,9,19,func_dec->compound->if->compound->while,2,control,1,0.214,13,1
