token,line,column,semantic,controlnum,feature,complexity,section,stimuli,pid
>.1,3,9,func_dec->compound->while,1,control,1,0.022,2,1
mysteryOp.1,1,5,func_dec,0,dec,1,0.044,2,1
result.1,2,7,func_dec->compound->dec->var_dec,0,dec,0,0.067,2,1
0.2,3,11,func_dec->compound->while,1,control,1,0.089,2,1
2.1,4,8,func_dec->compound->while->compound->if,2,control,4,0.111,2,1
0.2,3,11,func_dec->compound->while,1,control,1,0.133,2,1
mysteryOp.1_int.1,1,5,func_dec,0,dec,1,0.156,2,1
y.1,1,26,func_dec,0,dec,1,0.178,2,1
0.2,3,11,func_dec->compound->while,1,control,1,0.2,2,1
0.3,4,11,func_dec->compound->while->compound->if,2,control,4,0.222,2,1
!=.1,4,6,func_dec->compound->while->compound->if,2,control,4,0.244,2,1
2.1,4,8,func_dec->compound->while->compound->if,2,control,4,0.267,2,1
x.3,6,3,func_dec->compound->while->compound->coumpund_assign,1,cal,2,0.289,2,1
!=.1,4,6,func_dec->compound->while->compound->if,2,control,4,0.311,2,1
x.2,5,11,func_dec->compound->while->compound->if->compound->coumpund_assign,2,cal,2,0.333,2,1
0.3,4,11,func_dec->compound->while->compound->if,2,control,4,0.356,2,1
x.3,6,3,func_dec->compound->while->compound->coumpund_assign,1,cal,2,0.378,2,1
2.2,6,6,func_dec->compound->while->compound->coumpund_assign,1,cal,2,0.4,2,1
x.3,6,3,func_dec->compound->while->compound->coumpund_assign,1,cal,2,0.422,2,1
+=.1,5,3,func_dec->compound->while->compound->if->compound->coumpund_assign,2,cal,2,0.444,2,1
2.1,4,8,func_dec->compound->while->compound->if,2,control,4,0.467,2,1
0.2,3,11,func_dec->compound->while,1,control,1,0.489,2,1
result.1,2,7,func_dec->compound->dec->var_dec,0,dec,0,0.511,2,1
y.2,3,9,func_dec->compound->while,1,control,1,0.533,2,1
result.1,2,7,func_dec->compound->dec->var_dec,0,dec,0,0.556,2,1
y.2,3,9,func_dec->compound->while,1,control,1,0.578,2,1
0.1,2,14,func_dec->compound->dec->var_dec,0,dec,0,0.6,2,1
x.2,5,11,func_dec->compound->while->compound->if->compound->coumpund_assign,2,cal,2,0.622,2,1
0.3,4,11,func_dec->compound->while->compound->if,2,control,4,0.644,2,1
0.1_=.1,2,14,func_dec->compound->dec->var_dec,0,dec,0,0.667,2,1
0.2,3,11,func_dec->compound->while,1,control,1,0.689,2,1
