token,line,column,semantic,controlnum,feature,complexity,section
>.1,3,9,func_dec->compound->while,1,control,1,0.029
2.1,4,8,func_dec->compound->while->compound->if,2,control,4,0.059
0.3,4,11,func_dec->compound->while->compound->if,2,control,4,0.088
x.3,6,3,func_dec->compound->while->compound->coumpund_assign,1,cal,2,0.118
2.2,6,6,func_dec->compound->while->compound->coumpund_assign,1,cal,2,0.147
result.2,5,3,func_dec->compound->while->compound->if->compound->coumpund_assign,2,cal,2,0.176
2.2,6,6,func_dec->compound->while->compound->coumpund_assign,1,cal,2,0.206
result.2,5,3,func_dec->compound->while->compound->if->compound->coumpund_assign,2,cal,2,0.235
x.2,5,11,func_dec->compound->while->compound->if->compound->coumpund_assign,2,cal,2,0.265
result.2,5,3,func_dec->compound->while->compound->if->compound->coumpund_assign,2,cal,2,0.294
0.3,4,11,func_dec->compound->while->compound->if,2,control,4,0.324
x.2,5,11,func_dec->compound->while->compound->if->compound->coumpund_assign,2,cal,2,0.353
+=.1,5,3,func_dec->compound->while->compound->if->compound->coumpund_assign,2,cal,2,0.382
2.2,6,6,func_dec->compound->while->compound->coumpund_assign,1,cal,2,0.412
!=.1,4,6,func_dec->compound->while->compound->if,2,control,4,0.441
+=.1,5,3,func_dec->compound->while->compound->if->compound->coumpund_assign,2,cal,2,0.471
2.2,6,6,func_dec->compound->while->compound->coumpund_assign,1,cal,2,0.5
+=.1,5,3,func_dec->compound->while->compound->if->compound->coumpund_assign,2,cal,2,0.529
x.2,5,11,func_dec->compound->while->compound->if->compound->coumpund_assign,2,cal,2,0.559
+=.1,5,3,func_dec->compound->while->compound->if->compound->coumpund_assign,2,cal,2,0.588
!=.1,4,6,func_dec->compound->while->compound->if,2,control,4,0.618
2.2,6,6,func_dec->compound->while->compound->coumpund_assign,1,cal,2,0.647
x.3,6,3,func_dec->compound->while->compound->coumpund_assign,1,cal,2,0.676
2.1,4,8,func_dec->compound->while->compound->if,2,control,4,0.706
+=.1,5,3,func_dec->compound->while->compound->if->compound->coumpund_assign,2,cal,2,0.735
2.3,7,6,func_dec->compound->while->compound->coumpund_assign,1,cal,2,0.765
0.3,4,11,func_dec->compound->while->compound->if,2,control,4,0.794
+=.1,5,3,func_dec->compound->while->compound->if->compound->coumpund_assign,2,cal,2,0.824
x.2,5,11,func_dec->compound->while->compound->if->compound->coumpund_assign,2,cal,2,0.853
x.3,6,3,func_dec->compound->while->compound->coumpund_assign,1,cal,2,0.882
+=.1,5,3,func_dec->compound->while->compound->if->compound->coumpund_assign,2,cal,2,0.912
!=.1_%.1,4,6,func_dec->compound->while->compound->if,2,control,4,0.941
2.2,6,6,func_dec->compound->while->compound->coumpund_assign,1,cal,2,0.971
x.3,6,3,func_dec->compound->while->compound->coumpund_assign,1,cal,2,1.0
