token,line,column,semantic,controlnum,feature,complexity,section
while.1,3,3,func_dec->compound->while,1,control,1,0.032
if.1,4,3,func_dec->compound->while->compound->if,2,control,4,0.065
while.1,3,3,func_dec->compound->while,1,control,1,0.097
0.3,4,11,func_dec->compound->while->compound->if,2,control,4,0.129
2.1,4,8,func_dec->compound->while->compound->if,2,control,4,0.161
0.2,3,11,func_dec->compound->while,1,control,1,0.194
2.1,4,8,func_dec->compound->while->compound->if,2,control,4,0.226
result.2,5,3,func_dec->compound->while->compound->if->compound->coumpund_assign,2,cal,2,0.258
2.3,7,6,func_dec->compound->while->compound->coumpund_assign,1,cal,2,0.29
2.2,6,6,func_dec->compound->while->compound->coumpund_assign,1,cal,2,0.323
2.3,7,6,func_dec->compound->while->compound->coumpund_assign,1,cal,2,0.355
x.3,6,3,func_dec->compound->while->compound->coumpund_assign,1,cal,2,0.387
y.3,4,6,func_dec->compound->while->compound->if,2,control,4,0.419
0.3,4,11,func_dec->compound->while->compound->if,2,control,4,0.452
0.2,3,11,func_dec->compound->while,1,control,1,0.484
if.1,4,3,func_dec->compound->while->compound->if,2,control,4,0.516
2.1,4,8,func_dec->compound->while->compound->if,2,control,4,0.548
result.2,5,3,func_dec->compound->while->compound->if->compound->coumpund_assign,2,cal,2,0.581
while.1,3,3,func_dec->compound->while,1,control,1,0.613
0.3,4,11,func_dec->compound->while->compound->if,2,control,4,0.645
y.2,3,9,func_dec->compound->while,1,control,1,0.677
!=.1_%.1,4,6,func_dec->compound->while->compound->if,2,control,4,0.71
>.1,3,9,func_dec->compound->while,1,control,1,0.742
2.3,7,6,func_dec->compound->while->compound->coumpund_assign,1,cal,2,0.774
x.3,6,3,func_dec->compound->while->compound->coumpund_assign,1,cal,2,0.806
2.2,6,6,func_dec->compound->while->compound->coumpund_assign,1,cal,2,0.839
x.3,6,3,func_dec->compound->while->compound->coumpund_assign,1,cal,2,0.871
+=.1,5,3,func_dec->compound->while->compound->if->compound->coumpund_assign,2,cal,2,0.903
2.3,7,6,func_dec->compound->while->compound->coumpund_assign,1,cal,2,0.935
0.3_=.2,4,11,func_dec->compound->while->compound->if,2,control,4,0.968
/=.1_/.1,7,3,func_dec->compound->while->compound->coumpund_assign,1,cal,2,1.0
