token,line,column,semantic,controlnum,feature,complexity,section
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1,0.091
end.5,11,3,func_dec->compound->if->compound->while->compound->coumpund_assign->ref_dec,2,dec,1,0.182
return.1_else.1,7,3,func_dec->compound->if->compound->return,1,return,0,0.273
start.3,9,10,func_dec->compound->if->compound->while,2,control,1,0.364
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1,0.455
end.3_<=.1,9,19,func_dec->compound->if->compound->while,2,control,1,0.545
start.3,9,10,func_dec->compound->if->compound->while,2,control,1,0.636
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1,0.727
diff.2,11,10,func_dec->compound->if->compound->while->compound->coumpund_assign->ref_dec,2,dec,1,0.818
return.2,13,3,func_dec->compound->if->compound->return,1,return,0,0.909
end.5,11,3,func_dec->compound->if->compound->while->compound->coumpund_assign->ref_dec,2,dec,1,1.0
