token,line,column,semantic,controlnum,feature,complexity,section
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1,0.032
end.3_<=.1,9,19,func_dec->compound->if->compound->while,2,control,1,0.065
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1,0.097
start.2,6,7,func_dec->compound->if,1,control,1,0.129
return.1,7,3,func_dec->compound->if->compound->return,1,return,0,0.161
start.2,6,7,func_dec->compound->if,1,control,1,0.194
return.1,7,3,func_dec->compound->if->compound->return,1,return,0,0.226
end.2,6,15,func_dec->compound->if,1,control,1,0.258
std.3_std::vector<int>.2,5,3,func_dec->compound->dec->var_dec,0,dec,1,0.29
end.2,6,15,func_dec->compound->if,1,control,1,0.323
sequence.1,4,18,func_dec,0,dec,2,0.355
result.1,5,20,func_dec->compound->dec->var_dec,0,dec,1,0.387
end.1_int.3,4,42,func_dec,0,dec,2,0.419
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1,0.452
start.3,9,10,func_dec->compound->if->compound->while,2,control,1,0.484
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1,0.516
start.3,9,10,func_dec->compound->if->compound->while,2,control,1,0.548
end.3,9,19,func_dec->compound->if->compound->while,2,control,1,0.581
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1,0.613
end.3,9,19,func_dec->compound->if->compound->while,2,control,1,0.645
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1,0.677
diff.2,11,10,func_dec->compound->if->compound->while->compound->coumpund_assign->ref_dec,2,dec,1,0.71
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1,0.742
diff.2,11,10,func_dec->compound->if->compound->while->compound->coumpund_assign->ref_dec,2,dec,1,0.774
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1,0.806
diff.2_-=.1,11,10,func_dec->compound->if->compound->while->compound->coumpund_assign->ref_dec,2,dec,1,0.839
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1,0.871
diff.2,11,10,func_dec->compound->if->compound->while->compound->coumpund_assign->ref_dec,2,dec,1,0.903
end.5,11,3,func_dec->compound->if->compound->while->compound->coumpund_assign->ref_dec,2,dec,1,0.935
diff.2,11,10,func_dec->compound->if->compound->while->compound->coumpund_assign->ref_dec,2,dec,1,0.968
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1,1.0
