token,line,column,semantic,controlnum,feature,complexity,section
result.2,5,3,func_dec->compound->while->compound->if->compound->coumpund_assign,2,cal,2,0.2
0.3,4,11,func_dec->compound->while->compound->if,2,control,4,0.4
y.3,4,6,func_dec->compound->while->compound->if,2,control,4,0.6
x.3,6,3,func_dec->compound->while->compound->coumpund_assign,1,cal,2,0.8
x.2,5,11,func_dec->compound->while->compound->if->compound->coumpund_assign,2,cal,2,1.0
