token,line,column,semantic,controlnum,feature,complexity,section
target.2,6,16,func_dec->compound->for->compound->if,2,control,1,0.167
numbers.2,5,18,func_dec->compound->for,1,control,1,0.333
afunc.1_bool.1,3,6,func_dec,0,dec,3,0.5
for.1,5,3,func_dec->compound->for,1,control,1,0.667
target.1_int.2,3,49,func_dec,0,dec,3,0.833
afunc.1,3,6,func_dec,0,dec,3,1.0
