token,line,column,semantic,controlnum,feature,complexity,section
std.1_std::vector<int>.1,3,17,func_dec,0,dec,3,0.25
numbers.1,3,35,func_dec,0,dec,3,0.5
0.3,6,35,func_dec->compound->for->compound->if,2,control,5,0.75
num.6,7,29,func_dec->compound->for->compound->if->compound->coumpund_assign->ref_dec,2,dec,3,1.0
