token,line,column,semantic,controlnum,feature,complexity,section
4.1_%.2,6,30,func_dec->compound->for->compound->if,2,control,5,0.1
std.1_std::vector<int>.1,3,17,func_dec,0,dec,3,0.2
numbers.1,3,35,func_dec,0,dec,3,0.3
0.3,6,35,func_dec->compound->for->compound->if,2,control,5,0.4
numbers.1,3,35,func_dec,0,dec,3,0.5
numbers.1,3,35,func_dec,0,dec,3,0.6
0.3,6,35,func_dec->compound->for->compound->if,2,control,5,0.7
4.1,6,30,func_dec->compound->for->compound->if,2,control,5,0.8
num.6,7,29,func_dec->compound->for->compound->if->compound->coumpund_assign->ref_dec,2,dec,3,0.9
std.1_std::vector<int>.1,3,17,func_dec,0,dec,3,1.0
