token,line,column,semantic,controlnum,feature,complexity,section
return.1,4,7,func_dec->compound->switch->compound->case->return,1,return,0,0.016
0.2,4,14,func_dec->compound->switch->compound->case->return,1,return,0,0.032
1.1,5,10,func_dec->compound->switch->compound->case,1,control,0,0.048
case.2,5,5,func_dec->compound->switch->compound->case,1,control,0,0.065
return.1,4,7,func_dec->compound->switch->compound->case->return,1,return,0,0.081
0.2,4,14,func_dec->compound->switch->compound->case->return,1,return,0,0.097
return.1,4,7,func_dec->compound->switch->compound->case->return,1,return,0,0.113
0.2,4,14,func_dec->compound->switch->compound->case->return,1,return,0,0.129
return.2,6,7,func_dec->compound->switch->compound->case->return,1,return,0,0.145
mystery3.1_long.8,11,19,func_dec->compound->switch->compound->for->compound->dec->var_dec,2,dec,3,0.161
1.1,5,10,func_dec->compound->switch->compound->case,1,control,0,0.177
case.2,5,5,func_dec->compound->switch->compound->case,1,control,0,0.194
return.1,4,7,func_dec->compound->switch->compound->case->return,1,return,0,0.21
1.2,6,14,func_dec->compound->switch->compound->case->return,1,return,0,0.226
mystery1.1,8,17,func_dec->compound->switch->compound->default->dec->var_dec,1,dec,0,0.242
mystery2.1,9,17,func_dec->compound->switch->compound->dec->var_dec,1,dec,0,0.258
mystery1.1,8,17,func_dec->compound->switch->compound->default->dec->var_dec,1,dec,0,0.274
i.1_=.3,10,16,func_dec->compound->switch->compound->for->bi_op,2,cal,2,0.29
mystery3.1_long.8,11,19,func_dec->compound->switch->compound->for->compound->dec->var_dec,2,dec,3,0.306
mystery2.1_long.6,9,17,func_dec->compound->switch->compound->dec->var_dec,1,dec,0,0.323
i.1,10,16,func_dec->compound->switch->compound->for->bi_op,2,cal,2,0.339
mystery2.1_long.6,9,17,func_dec->compound->switch->compound->dec->var_dec,1,dec,0,0.355
mystery3.1_long.8,11,19,func_dec->compound->switch->compound->for->compound->dec->var_dec,2,dec,3,0.371
mystery3.1,11,19,func_dec->compound->switch->compound->for->compound->dec->var_dec,2,dec,3,0.387
mystery2.3,15,14,func_dec->compound->switch->compound->return,1,return,0,0.403
mystery3.1,11,19,func_dec->compound->switch->compound->for->compound->dec->var_dec,2,dec,3,0.419
mystery1.2,11,28,func_dec->compound->switch->compound->for->compound->dec->var_dec,2,dec,3,0.435
mystery3.1,11,19,func_dec->compound->switch->compound->for->compound->dec->var_dec,2,dec,3,0.452
mystery1.2,11,28,func_dec->compound->switch->compound->for->compound->dec->var_dec,2,dec,3,0.468
mystery3.2_=.5,13,18,func_dec->compound->switch->compound->for->compound->bi_op,2,cal,3,0.484
mystery3.2,13,18,func_dec->compound->switch->compound->for->compound->bi_op,2,cal,3,0.5
mystery2.3,15,14,func_dec->compound->switch->compound->return,1,return,0,0.516
mystery3.2,13,18,func_dec->compound->switch->compound->for->compound->bi_op,2,cal,3,0.532
1.2,6,14,func_dec->compound->switch->compound->case->return,1,return,0,0.548
mystery3.2,13,18,func_dec->compound->switch->compound->for->compound->bi_op,2,cal,3,0.565
mystery2.1,9,17,func_dec->compound->switch->compound->dec->var_dec,1,dec,0,0.581
mystery2.3,15,14,func_dec->compound->switch->compound->return,1,return,0,0.597
mystery3.2,13,18,func_dec->compound->switch->compound->for->compound->bi_op,2,cal,3,0.613
mystery2.3,15,14,func_dec->compound->switch->compound->return,1,return,0,0.629
mystery3.2,13,18,func_dec->compound->switch->compound->for->compound->bi_op,2,cal,3,0.645
mystery2.3,15,14,func_dec->compound->switch->compound->return,1,return,0,0.661
mystery3.2,13,18,func_dec->compound->switch->compound->for->compound->bi_op,2,cal,3,0.677
mystery2.3,15,14,func_dec->compound->switch->compound->return,1,return,0,0.694
mystery3.1,11,19,func_dec->compound->switch->compound->for->compound->dec->var_dec,2,dec,3,0.71
mystery1.2,11,28,func_dec->compound->switch->compound->for->compound->dec->var_dec,2,dec,3,0.726
mystery3.1,11,19,func_dec->compound->switch->compound->for->compound->dec->var_dec,2,dec,3,0.742
mystery2.3,15,14,func_dec->compound->switch->compound->return,1,return,0,0.758
mystery3.2,13,18,func_dec->compound->switch->compound->for->compound->bi_op,2,cal,3,0.774
mystery3.2,13,18,func_dec->compound->switch->compound->for->compound->bi_op,2,cal,3,0.79
mystery2.3,15,14,func_dec->compound->switch->compound->return,1,return,0,0.806
mystery1.2,11,28,func_dec->compound->switch->compound->for->compound->dec->var_dec,2,dec,3,0.823
mystery2.3,15,14,func_dec->compound->switch->compound->return,1,return,0,0.839
mystery3.2,13,18,func_dec->compound->switch->compound->for->compound->bi_op,2,cal,3,0.855
mystery2.3,15,14,func_dec->compound->switch->compound->return,1,return,0,0.871
mystery3.2,13,18,func_dec->compound->switch->compound->for->compound->bi_op,2,cal,3,0.887
mystery2.3,15,14,func_dec->compound->switch->compound->return,1,return,0,0.903
mystery3.2,13,18,func_dec->compound->switch->compound->for->compound->bi_op,2,cal,3,0.919
mystery2.3,15,14,func_dec->compound->switch->compound->return,1,return,0,0.935
mystery3.1,11,19,func_dec->compound->switch->compound->for->compound->dec->var_dec,2,dec,3,0.952
mystery2.3,15,14,func_dec->compound->switch->compound->return,1,return,0,0.968
mystery1.2,11,28,func_dec->compound->switch->compound->for->compound->dec->var_dec,2,dec,3,0.984
mystery3.2,13,18,func_dec->compound->switch->compound->for->compound->bi_op,2,cal,3,1.0
