token,line,column,semantic,controlnum,feature,complexity,section,stimuli,pid
numbers.2,5,18,func_dec->compound->for,1,control,1,1.0,16,4
numbers.1_int.1,3,36,func_dec,0,dec,3,0.5,16,7
target.1,3,49,func_dec,0,dec,3,1.0,16,7
numbers.2,5,18,func_dec->compound->for,1,control,1,0.5,16,8
0.1,4,15,func_dec->compound->dec->var_dec,0,dec,0,1.0,16,8
target.1,3,49,func_dec,0,dec,3,1.0,16,9
numbers.1,3,36,func_dec,0,dec,3,0.5,16,10
target.1,3,49,func_dec,0,dec,3,1.0,16,10
numbers.1,3,36,func_dec,0,dec,3,0.5,16,11
numbers.1,3,36,func_dec,0,dec,3,1.0,16,11
numbers.1,3,36,func_dec,0,dec,3,0.143,16,12
target.1,3,49,func_dec,0,dec,3,0.286,16,12
target.1,3,49,func_dec,0,dec,3,0.429,16,12
numbers.1,3,36,func_dec,0,dec,3,0.571,16,12
target.1,3,49,func_dec,0,dec,3,0.714,16,12
target.1,3,49,func_dec,0,dec,3,0.857,16,12
target.1,3,49,func_dec,0,dec,3,1.0,16,12
target.1,3,49,func_dec,0,dec,3,0.333,16,14
numbers.1,3,36,func_dec,0,dec,3,0.667,16,14
target.1,3,49,func_dec,0,dec,3,1.0,16,14
numbers.1,3,36,func_dec,0,dec,3,0.333,16,17
target.1,3,49,func_dec,0,dec,3,0.667,16,17
target.1,3,49,func_dec,0,dec,3,1.0,16,17
numbers.1,3,36,func_dec,0,dec,3,1.0,16,20
numbers.1,3,36,func_dec,0,dec,3,1.0,16,21
target.1,3,49,func_dec,0,dec,3,1.0,16,24
std.2_std::vector<int>.1,3,18,func_dec,0,dec,3,0.25,16,29
numbers.2,5,18,func_dec->compound->for,1,control,1,0.5,16,29
std.2_std::vector<int>.1,3,18,func_dec,0,dec,3,0.75,16,29
target.1,3,49,func_dec,0,dec,3,1.0,16,29
std.2_std::vector<int>.1,3,18,func_dec,0,dec,3,0.5,16,30
target.1,3,49,func_dec,0,dec,3,1.0,16,30
std.2_std::vector<int>.1,3,18,func_dec,0,dec,3,0.5,16,32
target.1,3,49,func_dec,0,dec,3,1.0,16,32
numbers.1,3,36,func_dec,0,dec,3,0.333,16,34
target.1,3,49,func_dec,0,dec,3,0.667,16,34
numbers.1,3,36,func_dec,0,dec,3,1.0,16,34
3.1,8,19,func_dec->compound->for->compound->if->compound->if,3,control,1,1.0,16,37
std.2_std::vector<int>.1,3,18,func_dec,0,dec,3,0.333,16,38
numbers.1,3,36,func_dec,0,dec,3,0.667,16,38
target.1,3,49,func_dec,0,dec,3,1.0,16,38
numbers.1_int.1,3,36,func_dec,0,dec,3,0.5,16,43
target.1,3,49,func_dec,0,dec,3,1.0,16,43
target.1,3,49,func_dec,0,dec,3,0.5,16,44
numbers.1,3,36,func_dec,0,dec,3,1.0,16,44
target.2,6,16,func_dec->compound->for->compound->if,2,control,1,0.25,16,49
num.2,6,9,func_dec->compound->for->compound->if,2,control,1,0.5,16,49
numbers.2,5,18,func_dec->compound->for,1,control,1,0.75,16,49
std.2_std::vector<int>.1,3,18,func_dec,0,dec,3,1.0,16,49
numbers.1,3,36,func_dec,0,dec,3,0.333,16,56
numbers.1,3,36,func_dec,0,dec,3,0.667,16,56
target.1,3,49,func_dec,0,dec,3,1.0,16,56
std.2_std::vector<int>.1,3,18,func_dec,0,dec,3,1.0,16,57
3.1_==.2,8,19,func_dec->compound->for->compound->if->compound->if,3,control,1,1.0,16,59
