token,line,column,semantic,controlnum,feature,complexity,section
+=.1,5,3,func_dec->compound->while->compound->if->compound->coumpund_assign,2,cal,2,0.017
2.1,4,8,func_dec->compound->while->compound->if,2,control,4,0.034
while.1,3,3,func_dec->compound->while,1,control,1,0.052
result.1,2,7,func_dec->compound->dec->var_dec,0,dec,0,0.069
y.2,3,9,func_dec->compound->while,1,control,1,0.086
0.1_=.1,2,14,func_dec->compound->dec->var_dec,0,dec,0,0.103
x.1_int.3,1,19,func_dec,0,dec,1,0.121
+=.1,5,3,func_dec->compound->while->compound->if->compound->coumpund_assign,2,cal,2,0.138
0.3,4,11,func_dec->compound->while->compound->if,2,control,4,0.155
+=.1,5,3,func_dec->compound->while->compound->if->compound->coumpund_assign,2,cal,2,0.172
x.2,5,11,func_dec->compound->while->compound->if->compound->coumpund_assign,2,cal,2,0.19
+=.1,5,3,func_dec->compound->while->compound->if->compound->coumpund_assign,2,cal,2,0.207
result.2,5,3,func_dec->compound->while->compound->if->compound->coumpund_assign,2,cal,2,0.224
x.2,5,11,func_dec->compound->while->compound->if->compound->coumpund_assign,2,cal,2,0.241
+=.1,5,3,func_dec->compound->while->compound->if->compound->coumpund_assign,2,cal,2,0.259
result.1,2,7,func_dec->compound->dec->var_dec,0,dec,0,0.276
y.2,3,9,func_dec->compound->while,1,control,1,0.293
result.1,2,7,func_dec->compound->dec->var_dec,0,dec,0,0.31
if.1,4,3,func_dec->compound->while->compound->if,2,control,4,0.328
result.1_int.4,2,7,func_dec->compound->dec->var_dec,0,dec,0,0.345
while.1,3,3,func_dec->compound->while,1,control,1,0.362
0.1,2,14,func_dec->compound->dec->var_dec,0,dec,0,0.379
x.3,6,3,func_dec->compound->while->compound->coumpund_assign,1,cal,2,0.397
!=.1,4,6,func_dec->compound->while->compound->if,2,control,4,0.414
0.3,4,11,func_dec->compound->while->compound->if,2,control,4,0.431
+=.1,5,3,func_dec->compound->while->compound->if->compound->coumpund_assign,2,cal,2,0.448
x.3,6,3,func_dec->compound->while->compound->coumpund_assign,1,cal,2,0.466
x.2,5,11,func_dec->compound->while->compound->if->compound->coumpund_assign,2,cal,2,0.483
2.2,6,6,func_dec->compound->while->compound->coumpund_assign,1,cal,2,0.5
x.3,6,3,func_dec->compound->while->compound->coumpund_assign,1,cal,2,0.517
while.1,3,3,func_dec->compound->while,1,control,1,0.534
result.1_int.4,2,7,func_dec->compound->dec->var_dec,0,dec,0,0.552
!=.1,4,6,func_dec->compound->while->compound->if,2,control,4,0.569
0.2,3,11,func_dec->compound->while,1,control,1,0.586
!=.1,4,6,func_dec->compound->while->compound->if,2,control,4,0.603
x.2,5,11,func_dec->compound->while->compound->if->compound->coumpund_assign,2,cal,2,0.621
!=.1,4,6,func_dec->compound->while->compound->if,2,control,4,0.638
x.2,5,11,func_dec->compound->while->compound->if->compound->coumpund_assign,2,cal,2,0.655
+=.1,5,3,func_dec->compound->while->compound->if->compound->coumpund_assign,2,cal,2,0.672
x.3,6,3,func_dec->compound->while->compound->coumpund_assign,1,cal,2,0.69
+=.1,5,3,func_dec->compound->while->compound->if->compound->coumpund_assign,2,cal,2,0.707
x.3,6,3,func_dec->compound->while->compound->coumpund_assign,1,cal,2,0.724
result.1,2,7,func_dec->compound->dec->var_dec,0,dec,0,0.741
y.2,3,9,func_dec->compound->while,1,control,1,0.759
while.1,3,3,func_dec->compound->while,1,control,1,0.776
y.2,3,9,func_dec->compound->while,1,control,1,0.793
result.1,2,7,func_dec->compound->dec->var_dec,0,dec,0,0.81
0.1,2,14,func_dec->compound->dec->var_dec,0,dec,0,0.828
!=.1,4,6,func_dec->compound->while->compound->if,2,control,4,0.845
x.3,6,3,func_dec->compound->while->compound->coumpund_assign,1,cal,2,0.862
x.2,5,11,func_dec->compound->while->compound->if->compound->coumpund_assign,2,cal,2,0.879
+=.1,5,3,func_dec->compound->while->compound->if->compound->coumpund_assign,2,cal,2,0.897
x.3,6,3,func_dec->compound->while->compound->coumpund_assign,1,cal,2,0.914
x.2,5,11,func_dec->compound->while->compound->if->compound->coumpund_assign,2,cal,2,0.931
result.1,2,7,func_dec->compound->dec->var_dec,0,dec,0,0.948
0.3,4,11,func_dec->compound->while->compound->if,2,control,4,0.966
x.2,5,11,func_dec->compound->while->compound->if->compound->coumpund_assign,2,cal,2,0.983
x.3,6,3,func_dec->compound->while->compound->coumpund_assign,1,cal,2,1.0
