token,line,column,semantic,controlnum,feature,complexity,section
0.3,6,35,func_dec->compound->for->compound->if,2,control,5,0.2
numbers.1,3,35,func_dec,0,dec,3,0.4
0.3,6,35,func_dec->compound->for->compound->if,2,control,5,0.6
num.6,7,29,func_dec->compound->for->compound->if->compound->coumpund_assign->ref_dec,2,dec,3,0.8
0.3,6,35,func_dec->compound->for->compound->if,2,control,5,1.0
