token,line,column,semantic,controlnum,feature,complexity,section
x.1,1,19,func_dec,0,dec,1,0.025
x.2,5,11,func_dec->compound->while->compound->if->compound->coumpund_assign,2,cal,2,0.05
0.1,2,14,func_dec->compound->dec->var_dec,0,dec,0,0.075
!=.1,4,6,func_dec->compound->while->compound->if,2,control,4,0.1
0.1,2,14,func_dec->compound->dec->var_dec,0,dec,0,0.125
0.3,4,11,func_dec->compound->while->compound->if,2,control,4,0.15
x.3,6,3,func_dec->compound->while->compound->coumpund_assign,1,cal,2,0.175
0.3,4,11,func_dec->compound->while->compound->if,2,control,4,0.2
!=.1,4,6,func_dec->compound->while->compound->if,2,control,4,0.225
0.3,4,11,func_dec->compound->while->compound->if,2,control,4,0.25
2.1,4,8,func_dec->compound->while->compound->if,2,control,4,0.275
0.2,3,11,func_dec->compound->while,1,control,1,0.3
0.3,4,11,func_dec->compound->while->compound->if,2,control,4,0.325
!=.1,4,6,func_dec->compound->while->compound->if,2,control,4,0.35
x.2,5,11,func_dec->compound->while->compound->if->compound->coumpund_assign,2,cal,2,0.375
!=.1,4,6,func_dec->compound->while->compound->if,2,control,4,0.4
x.3,6,3,func_dec->compound->while->compound->coumpund_assign,1,cal,2,0.425
0.3,4,11,func_dec->compound->while->compound->if,2,control,4,0.45
x.3,6,3,func_dec->compound->while->compound->coumpund_assign,1,cal,2,0.475
0.3,4,11,func_dec->compound->while->compound->if,2,control,4,0.5
!=.1,4,6,func_dec->compound->while->compound->if,2,control,4,0.525
x.3,6,3,func_dec->compound->while->compound->coumpund_assign,1,cal,2,0.55
0.3,4,11,func_dec->compound->while->compound->if,2,control,4,0.575
0.2,3,11,func_dec->compound->while,1,control,1,0.6
!=.1,4,6,func_dec->compound->while->compound->if,2,control,4,0.625
2.1,4,8,func_dec->compound->while->compound->if,2,control,4,0.65
0.2,3,11,func_dec->compound->while,1,control,1,0.675
2.1,4,8,func_dec->compound->while->compound->if,2,control,4,0.7
0.2,3,11,func_dec->compound->while,1,control,1,0.725
2.1,4,8,func_dec->compound->while->compound->if,2,control,4,0.75
!=.1,4,6,func_dec->compound->while->compound->if,2,control,4,0.775
0.3,4,11,func_dec->compound->while->compound->if,2,control,4,0.8
!=.1,4,6,func_dec->compound->while->compound->if,2,control,4,0.825
x.2,5,11,func_dec->compound->while->compound->if->compound->coumpund_assign,2,cal,2,0.85
0.3,4,11,func_dec->compound->while->compound->if,2,control,4,0.875
x.2,5,11,func_dec->compound->while->compound->if->compound->coumpund_assign,2,cal,2,0.9
0.3,4,11,func_dec->compound->while->compound->if,2,control,4,0.925
x.3,6,3,func_dec->compound->while->compound->coumpund_assign,1,cal,2,0.95
x.2,5,11,func_dec->compound->while->compound->if->compound->coumpund_assign,2,cal,2,0.975
x.1_int.3,1,19,func_dec,0,dec,1,1.0
