token,line,column,semantic,controlnum,feature,complexity,section
std.2_std::vector<int>.1,3,18,func_dec,0,dec,3,0.25
numbers.2,5,18,func_dec->compound->for,1,control,1,0.5
std.2_std::vector<int>.1,3,18,func_dec,0,dec,3,0.75
target.1,3,49,func_dec,0,dec,3,1.0
