token,line,column,semantic,controlnum,feature,complexity,section
end.3_<=.1,9,19,func_dec->compound->if->compound->while,2,control,1,0.009
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1,0.018
std.3_std::vector<int>.2,5,3,func_dec->compound->dec->var_dec,0,dec,1,0.027
return.1,7,3,func_dec->compound->if->compound->return,1,return,0,0.036
start.2,6,7,func_dec->compound->if,1,control,1,0.045
result.2,7,10,func_dec->compound->if->compound->return,1,return,0,0.054
end.2,6,15,func_dec->compound->if,1,control,1,0.062
std.3_std::vector<int>.2,5,3,func_dec->compound->dec->var_dec,0,dec,1,0.071
result.2,7,10,func_dec->compound->if->compound->return,1,return,0,0.08
start.3,9,10,func_dec->compound->if->compound->while,2,control,1,0.089
start.3,9,10,func_dec->compound->if->compound->while,2,control,1,0.098
result.2,7,10,func_dec->compound->if->compound->return,1,return,0,0.107
end.3_<=.1,9,19,func_dec->compound->if->compound->while,2,control,1,0.116
result.2,7,10,func_dec->compound->if->compound->return,1,return,0,0.125
std.3_std::vector<int>.2,5,3,func_dec->compound->dec->var_dec,0,dec,1,0.134
end.2,6,15,func_dec->compound->if,1,control,1,0.143
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1,0.152
diff.2,11,10,func_dec->compound->if->compound->while->compound->coumpund_assign->ref_dec,2,dec,1,0.161
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1,0.17
start.3,9,10,func_dec->compound->if->compound->while,2,control,1,0.179
start.3,9,10,func_dec->compound->if->compound->while,2,control,1,0.188
end.3,9,19,func_dec->compound->if->compound->while,2,control,1,0.196
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1,0.205
end.3_<=.1,9,19,func_dec->compound->if->compound->while,2,control,1,0.214
diff.1,4,51,func_dec,0,dec,2,0.223
sequence.1,4,18,func_dec,0,dec,2,0.232
result.2,7,10,func_dec->compound->if->compound->return,1,return,0,0.241
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1,0.25
start.3,9,10,func_dec->compound->if->compound->while,2,control,1,0.259
result.2,7,10,func_dec->compound->if->compound->return,1,return,0,0.268
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1,0.277
start.3,9,10,func_dec->compound->if->compound->while,2,control,1,0.286
result.2,7,10,func_dec->compound->if->compound->return,1,return,0,0.295
end.2,6,15,func_dec->compound->if,1,control,1,0.304
result.2,7,10,func_dec->compound->if->compound->return,1,return,0,0.312
end.2,6,15,func_dec->compound->if,1,control,1,0.321
start.2,6,7,func_dec->compound->if,1,control,1,0.33
return.1,7,3,func_dec->compound->if->compound->return,1,return,0,0.339
std.3_std::vector<int>.2,5,3,func_dec->compound->dec->var_dec,0,dec,1,0.348
start.2,6,7,func_dec->compound->if,1,control,1,0.357
result.2,7,10,func_dec->compound->if->compound->return,1,return,0,0.366
std.1_>.1,3,17,USING_DIRECTIVE->ref,0,dec,0,0.375
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1,0.384
end.3,9,19,func_dec->compound->if->compound->while,2,control,1,0.393
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1,0.402
end.3,9,19,func_dec->compound->if->compound->while,2,control,1,0.411
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1,0.42
result.2,7,10,func_dec->compound->if->compound->return,1,return,0,0.429
start.3,9,10,func_dec->compound->if->compound->while,2,control,1,0.438
end.3,9,19,func_dec->compound->if->compound->while,2,control,1,0.446
start.3,9,10,func_dec->compound->if->compound->while,2,control,1,0.455
while.1,9,3,func_dec->compound->if->compound->while,2,control,1,0.464
start.3,9,10,func_dec->compound->if->compound->while,2,control,1,0.473
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1,0.482
start.3,9,10,func_dec->compound->if->compound->while,2,control,1,0.491
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1,0.5
end.3,9,19,func_dec->compound->if->compound->while,2,control,1,0.509
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1,0.518
end.3_<=.1,9,19,func_dec->compound->if->compound->while,2,control,1,0.527
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1,0.536
start.3,9,10,func_dec->compound->if->compound->while,2,control,1,0.545
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1,0.554
end.3_<=.1,9,19,func_dec->compound->if->compound->while,2,control,1,0.562
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1,0.571
