token,line,column,semantic,controlnum,feature,complexity,section
result.2,5,3,func_dec->compound->while->compound->if->compound->coumpund_assign,2,cal,2,0.025
y.3,4,6,func_dec->compound->while->compound->if,2,control,4,0.05
result.2,5,3,func_dec->compound->while->compound->if->compound->coumpund_assign,2,cal,2,0.075
y.3,4,6,func_dec->compound->while->compound->if,2,control,4,0.1
result.2,5,3,func_dec->compound->while->compound->if->compound->coumpund_assign,2,cal,2,0.125
y.3,4,6,func_dec->compound->while->compound->if,2,control,4,0.15
result.2,5,3,func_dec->compound->while->compound->if->compound->coumpund_assign,2,cal,2,0.175
if.1,4,3,func_dec->compound->while->compound->if,2,control,4,0.2
result.2,5,3,func_dec->compound->while->compound->if->compound->coumpund_assign,2,cal,2,0.225
!=.1_%.1,4,6,func_dec->compound->while->compound->if,2,control,4,0.25
+=.1,5,3,func_dec->compound->while->compound->if->compound->coumpund_assign,2,cal,2,0.275
x.2,5,11,func_dec->compound->while->compound->if->compound->coumpund_assign,2,cal,2,0.3
!=.1,4,6,func_dec->compound->while->compound->if,2,control,4,0.325
x.2,5,11,func_dec->compound->while->compound->if->compound->coumpund_assign,2,cal,2,0.35
0.3_=.2,4,11,func_dec->compound->while->compound->if,2,control,4,0.375
result.2,5,3,func_dec->compound->while->compound->if->compound->coumpund_assign,2,cal,2,0.4
0.3_=.2,4,11,func_dec->compound->while->compound->if,2,control,4,0.425
result.2,5,3,func_dec->compound->while->compound->if->compound->coumpund_assign,2,cal,2,0.45
0.3_=.2,4,11,func_dec->compound->while->compound->if,2,control,4,0.475
0.2,3,11,func_dec->compound->while,1,control,1,0.5
!=.1,4,6,func_dec->compound->while->compound->if,2,control,4,0.525
2.2,6,6,func_dec->compound->while->compound->coumpund_assign,1,cal,2,0.55
2.3,7,6,func_dec->compound->while->compound->coumpund_assign,1,cal,2,0.575
0.3_=.2,4,11,func_dec->compound->while->compound->if,2,control,4,0.6
/=.1_/.1,7,3,func_dec->compound->while->compound->coumpund_assign,1,cal,2,0.625
0.3_=.2,4,11,func_dec->compound->while->compound->if,2,control,4,0.65
/=.1_/.1,7,3,func_dec->compound->while->compound->coumpund_assign,1,cal,2,0.675
2.3,7,6,func_dec->compound->while->compound->coumpund_assign,1,cal,2,0.7
!=.1_%.1,4,6,func_dec->compound->while->compound->if,2,control,4,0.725
+=.1,5,3,func_dec->compound->while->compound->if->compound->coumpund_assign,2,cal,2,0.75
0.3_=.2,4,11,func_dec->compound->while->compound->if,2,control,4,0.775
/=.1_/.1,7,3,func_dec->compound->while->compound->coumpund_assign,1,cal,2,0.8
0.3_=.2,4,11,func_dec->compound->while->compound->if,2,control,4,0.825
2.3,7,6,func_dec->compound->while->compound->coumpund_assign,1,cal,2,0.85
2.3,7,6,func_dec->compound->while->compound->coumpund_assign,1,cal,2,0.875
x.2,5,11,func_dec->compound->while->compound->if->compound->coumpund_assign,2,cal,2,0.9
2.2,6,6,func_dec->compound->while->compound->coumpund_assign,1,cal,2,0.925
x.3,6,3,func_dec->compound->while->compound->coumpund_assign,1,cal,2,0.95
2.3,7,6,func_dec->compound->while->compound->coumpund_assign,1,cal,2,0.975
2.2,6,6,func_dec->compound->while->compound->coumpund_assign,1,cal,2,1.0
