token,line,column,semantic,controlnum,feature,complexity,section
mystery2.1_long.5,9,17,func_dec->compound->switch->compound->dec->var_dec,1,dec,0,0.004
return.1,4,7,func_dec->compound->switch->compound->case->return,1,return,0,0.008
0.1,3,10,func_dec->compound->switch->compound->case,1,control,0,0.012
return.1,4,7,func_dec->compound->switch->compound->case->return,1,return,0,0.016
case.1,3,5,func_dec->compound->switch->compound->case,1,control,0,0.02
0.1,3,10,func_dec->compound->switch->compound->case,1,control,0,0.024
switch.1,2,3,func_dec->compound->switch,1,control,1,0.028
case.1,3,5,func_dec->compound->switch->compound->case,1,control,0,0.032
switch.1,2,3,func_dec->compound->switch,1,control,1,0.036
return.1,4,7,func_dec->compound->switch->compound->case->return,1,return,0,0.04
mystery1.1_long.3,8,17,func_dec->compound->switch->compound->default->dec->var_dec,1,dec,0,0.044
return.2_default.1,6,7,func_dec->compound->switch->compound->case->return,1,return,0,0.048
mystery1.1_long.3,8,17,func_dec->compound->switch->compound->default->dec->var_dec,1,dec,0,0.052
return.2,6,7,func_dec->compound->switch->compound->case->return,1,return,0,0.056
mystery2.1_long.5,9,17,func_dec->compound->switch->compound->dec->var_dec,1,dec,0,0.06
i.1_int.2,10,16,func_dec->compound->switch->compound->for->bi_op,2,cal,2,0.064
mystery2.1_long.6,9,17,func_dec->compound->switch->compound->dec->var_dec,1,dec,0,0.068
mystery2.1,9,17,func_dec->compound->switch->compound->dec->var_dec,1,dec,0,0.072
mystery1.1,8,17,func_dec->compound->switch->compound->default->dec->var_dec,1,dec,0,0.076
mystery2.1,9,17,func_dec->compound->switch->compound->dec->var_dec,1,dec,0,0.08
2.1,10,18,func_dec->compound->switch->compound->for->bi_op,2,cal,2,0.084
mystery3.1,11,19,func_dec->compound->switch->compound->for->compound->dec->var_dec,2,dec,3,0.088
mystery2.1,9,17,func_dec->compound->switch->compound->dec->var_dec,1,dec,0,0.092
++i.1,10,26,func_dec->compound->switch->compound->for->bi_op,2,cal,2,0.096
=.1_mystery1.3,13,9,func_dec->compound->switch->compound->for->compound->bi_op,2,cal,3,0.1
mystery2.3_mystery2.4,15,14,func_dec->compound->switch->compound->return,1,return,0,0.104
=.1_mystery1.3,13,9,func_dec->compound->switch->compound->for->compound->bi_op,2,cal,3,0.108
mystery2.3_mystery2.4,15,14,func_dec->compound->switch->compound->return,1,return,0,0.112
=.1_mystery1.3,13,9,func_dec->compound->switch->compound->for->compound->bi_op,2,cal,3,0.116
