token,line,column,semantic,controlnum,feature,complexity,section
start.3,9,10,func_dec->compound->if->compound->while,2,control,1,0.053
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1,0.105
while.1,9,3,func_dec->compound->if->compound->while,2,control,1,0.158
end.3,9,19,func_dec->compound->if->compound->while,2,control,1,0.211
start.3,9,10,func_dec->compound->if->compound->while,2,control,1,0.263
return.1_else.1,7,3,func_dec->compound->if->compound->return,1,return,0,0.316
end.3_<=.1,9,19,func_dec->compound->if->compound->while,2,control,1,0.368
diff.2_-=.1,11,10,func_dec->compound->if->compound->while->compound->coumpund_assign->ref_dec,2,dec,1,0.421
diff.2,11,10,func_dec->compound->if->compound->while->compound->coumpund_assign->ref_dec,2,dec,1,0.474
end.5,11,3,func_dec->compound->if->compound->while->compound->coumpund_assign->ref_dec,2,dec,1,0.526
diff.2,11,10,func_dec->compound->if->compound->while->compound->coumpund_assign->ref_dec,2,dec,1,0.579
end.5,11,3,func_dec->compound->if->compound->while->compound->coumpund_assign->ref_dec,2,dec,1,0.632
diff.2,11,10,func_dec->compound->if->compound->while->compound->coumpund_assign->ref_dec,2,dec,1,0.684
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1,0.737
diff.2_-=.1,11,10,func_dec->compound->if->compound->while->compound->coumpund_assign->ref_dec,2,dec,1,0.789
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1,0.842
diff.2_-=.1,11,10,func_dec->compound->if->compound->while->compound->coumpund_assign->ref_dec,2,dec,1,0.895
diff.2,11,10,func_dec->compound->if->compound->while->compound->coumpund_assign->ref_dec,2,dec,1,0.947
return.2,13,3,func_dec->compound->if->compound->return,1,return,0,1.0
