token,line,column,semantic,controlnum,feature,complexity,section
std.1_std::vector<int>.1,3,17,func_dec,0,dec,3,0.2
numbers.1,3,35,func_dec,0,dec,3,0.4
0.3,6,35,func_dec->compound->for->compound->if,2,control,5,0.6
4.1,6,30,func_dec->compound->for->compound->if,2,control,5,0.8
0.3,6,35,func_dec->compound->for->compound->if,2,control,5,1.0
