token,line,column,semantic,controlnum,feature,complexity,section
numList.3,10,20,func_dec->compound->for,1,control,1,0.045
edited.1,5,17,func_dec->compound->dec->var_dec,0,dec,0,0.091
std.2_std::list<int>.1,4,1,func_dec,0,dec,2,0.136
std.4_std::list<int>.3,5,2,func_dec->compound->dec->var_dec,0,dec,0,0.182
std.2_std::list<int>.1,4,1,func_dec,0,dec,2,0.227
std.4_std::list<int>.3,5,2,func_dec->compound->dec->var_dec,0,dec,0,0.273
std.2_std::list<int>.1,4,1,func_dec,0,dec,2,0.318
afunc.1,4,16,func_dec,0,dec,2,0.364
std.4_std::list<int>.3,5,2,func_dec->compound->dec->var_dec,0,dec,0,0.409
afunc.1,4,16,func_dec,0,dec,2,0.455
std.4_std::list<int>.3,5,2,func_dec->compound->dec->var_dec,0,dec,0,0.5
afunc.1,4,16,func_dec,0,dec,2,0.545
std.4_std::list<int>.3,5,2,func_dec->compound->dec->var_dec,0,dec,0,0.591
num.1,6,12,func_dec->compound->for,1,control,1,0.636
std.2_std::list<int>.1,4,1,func_dec,0,dec,2,0.682
std.4_std::list<int>.3,5,2,func_dec->compound->dec->var_dec,0,dec,0,0.727
std.2_std::list<int>.1,4,1,func_dec,0,dec,2,0.773
std.4_std::list<int>.3,5,2,func_dec->compound->dec->var_dec,0,dec,0,0.818
afunc.1,4,16,func_dec,0,dec,2,0.864
std.4_std::list<int>.3,5,2,func_dec->compound->dec->var_dec,0,dec,0,0.909
edited.1,5,17,func_dec->compound->dec->var_dec,0,dec,0,0.955
numList.2,6,18,func_dec->compound->for,1,control,1,1.0
