token,line,column,semantic,controlnum,feature,complexity,section
mystery2.1_long.6,9,17,func_dec->compound->switch->compound->dec->var_dec,1,dec,0,0.008
i.1_int.2,10,16,func_dec->compound->switch->compound->for->bi_op,2,cal,2,0.016
i.1,10,16,func_dec->compound->switch->compound->for->bi_op,2,cal,2,0.025
return.2,6,7,func_dec->compound->switch->compound->case->return,1,return,0,0.033
mystery1.1_long.4,8,17,func_dec->compound->switch->compound->default->dec->var_dec,1,dec,0,0.041
mystery2.1,9,17,func_dec->compound->switch->compound->dec->var_dec,1,dec,0,0.049
1.2,6,14,func_dec->compound->switch->compound->case->return,1,return,0,0.057
return.2,6,7,func_dec->compound->switch->compound->case->return,1,return,0,0.066
1.1,5,10,func_dec->compound->switch->compound->case,1,control,0,0.074
mystery1.1_long.4,8,17,func_dec->compound->switch->compound->default->dec->var_dec,1,dec,0,0.082
1.2,6,14,func_dec->compound->switch->compound->case->return,1,return,0,0.09
mystery1.1_long.4,8,17,func_dec->compound->switch->compound->default->dec->var_dec,1,dec,0,0.098
mystery2.1_long.6,9,17,func_dec->compound->switch->compound->dec->var_dec,1,dec,0,0.107
=.1_mystery1.3,13,9,func_dec->compound->switch->compound->for->compound->bi_op,2,cal,3,0.115
mystery3.1_long.8,11,19,func_dec->compound->switch->compound->for->compound->dec->var_dec,2,dec,3,0.123
=.1_mystery1.3,13,9,func_dec->compound->switch->compound->for->compound->bi_op,2,cal,3,0.131
mystery3.1_long.7,11,19,func_dec->compound->switch->compound->for->compound->dec->var_dec,2,dec,3,0.139
i.1_int.2,10,16,func_dec->compound->switch->compound->for->bi_op,2,cal,2,0.148
mystery3.1_long.7,11,19,func_dec->compound->switch->compound->for->compound->dec->var_dec,2,dec,3,0.156
1.2,6,14,func_dec->compound->switch->compound->case->return,1,return,0,0.164
return.2,6,7,func_dec->compound->switch->compound->case->return,1,return,0,0.172
=.1_mystery1.3,13,9,func_dec->compound->switch->compound->for->compound->bi_op,2,cal,3,0.18
1.2,6,14,func_dec->compound->switch->compound->case->return,1,return,0,0.189
mystery1.1_long.4,8,17,func_dec->compound->switch->compound->default->dec->var_dec,1,dec,0,0.197
mystery2.1,9,17,func_dec->compound->switch->compound->dec->var_dec,1,dec,0,0.205
i.1,10,16,func_dec->compound->switch->compound->for->bi_op,2,cal,2,0.213
mystery2.1,9,17,func_dec->compound->switch->compound->dec->var_dec,1,dec,0,0.221
mystery1.1,8,17,func_dec->compound->switch->compound->default->dec->var_dec,1,dec,0,0.23
=.1_mystery1.3,13,9,func_dec->compound->switch->compound->for->compound->bi_op,2,cal,3,0.238
mystery2.1_long.6,9,17,func_dec->compound->switch->compound->dec->var_dec,1,dec,0,0.246
i.1_int.2,10,16,func_dec->compound->switch->compound->for->bi_op,2,cal,2,0.254
mystery2.1_long.6,9,17,func_dec->compound->switch->compound->dec->var_dec,1,dec,0,0.262
i.1_int.2,10,16,func_dec->compound->switch->compound->for->bi_op,2,cal,2,0.27
mystery2.1_long.6,9,17,func_dec->compound->switch->compound->dec->var_dec,1,dec,0,0.279
return.2,6,7,func_dec->compound->switch->compound->case->return,1,return,0,0.287
mystery1.1,8,17,func_dec->compound->switch->compound->default->dec->var_dec,1,dec,0,0.295
mystery2.1,9,17,func_dec->compound->switch->compound->dec->var_dec,1,dec,0,0.303
mystery3.1_long.8,11,19,func_dec->compound->switch->compound->for->compound->dec->var_dec,2,dec,3,0.311
mystery1.2,11,28,func_dec->compound->switch->compound->for->compound->dec->var_dec,2,dec,3,0.32
mystery2.1_long.6,9,17,func_dec->compound->switch->compound->dec->var_dec,1,dec,0,0.328
i.1_int.2,10,16,func_dec->compound->switch->compound->for->bi_op,2,cal,2,0.336
mystery3.1_long.8,11,19,func_dec->compound->switch->compound->for->compound->dec->var_dec,2,dec,3,0.344
=.1_mystery1.3,13,9,func_dec->compound->switch->compound->for->compound->bi_op,2,cal,3,0.352
mystery3.1_long.8,11,19,func_dec->compound->switch->compound->for->compound->dec->var_dec,2,dec,3,0.361
mystery2.1_long.6,9,17,func_dec->compound->switch->compound->dec->var_dec,1,dec,0,0.369
i.1_int.2,10,16,func_dec->compound->switch->compound->for->bi_op,2,cal,2,0.377
mystery2.1_long.6,9,17,func_dec->compound->switch->compound->dec->var_dec,1,dec,0,0.385
=.1_mystery1.3,13,9,func_dec->compound->switch->compound->for->compound->bi_op,2,cal,3,0.393
mystery2.3_mystery2.4,15,14,func_dec->compound->switch->compound->return,1,return,0,0.402
mystery3.2_=.5,13,18,func_dec->compound->switch->compound->for->compound->bi_op,2,cal,3,0.41
mystery2.3,15,14,func_dec->compound->switch->compound->return,1,return,0,0.418
mystery3.2,13,18,func_dec->compound->switch->compound->for->compound->bi_op,2,cal,3,0.426
mystery2.3,15,14,func_dec->compound->switch->compound->return,1,return,0,0.434
mystery3.2,13,18,func_dec->compound->switch->compound->for->compound->bi_op,2,cal,3,0.443
mystery1.2,11,28,func_dec->compound->switch->compound->for->compound->dec->var_dec,2,dec,3,0.451
mystery2.3,15,14,func_dec->compound->switch->compound->return,1,return,0,0.459
=.1_mystery1.3,13,9,func_dec->compound->switch->compound->for->compound->bi_op,2,cal,3,0.467
mystery3.1_long.7,11,19,func_dec->compound->switch->compound->for->compound->dec->var_dec,2,dec,3,0.475
mystery1.2,11,28,func_dec->compound->switch->compound->for->compound->dec->var_dec,2,dec,3,0.484
