token,line,column,semantic,controlnum,feature,complexity,section,stimuli,pid
num.3,8,21,func_dec->compound->for->compound->if->compound->call_exp,2,dec,1,1.0,15,2
num.3,8,21,func_dec->compound->for->compound->if->compound->call_exp,2,dec,1,1.0,15,6
numList.2,6,18,func_dec->compound->for,1,control,1,1.0,15,8
std.3_std::list<int>.2,4,28,func_dec,0,dec,2,0.333,15,11
numList.1,4,44,func_dec,0,dec,2,0.667,15,11
edited.1,5,17,func_dec->compound->dec->var_dec,0,dec,0,1.0,15,11
std.3_std::list<int>.2,4,28,func_dec,0,dec,2,1.0,15,14
std.3_std::list<int>.2,4,28,func_dec,0,dec,2,0.125,15,15
edited.1,5,17,func_dec->compound->dec->var_dec,0,dec,0,0.25,15,15
std.3_std::list<int>.2,4,28,func_dec,0,dec,2,0.375,15,15
numList.1,4,44,func_dec,0,dec,2,0.5,15,15
edited.2,8,3,func_dec->compound->for->compound->if->compound->call_exp,2,dec,1,0.625,15,15
numList.2,6,18,func_dec->compound->for,1,control,1,0.75,15,15
std.3_std::list<int>.2,4,28,func_dec,0,dec,2,0.875,15,15
numList.1,4,44,func_dec,0,dec,2,1.0,15,15
numList.1,4,44,func_dec,0,dec,2,1.0,15,20
numList.1,4,44,func_dec,0,dec,2,0.5,15,22
num.3,8,21,func_dec->compound->for->compound->if->compound->call_exp,2,dec,1,1.0,15,22
std.3_std::list<int>.2,4,28,func_dec,0,dec,2,1.0,15,25
numList.3,10,20,func_dec->compound->for,1,control,1,0.045,15,27
edited.1,5,17,func_dec->compound->dec->var_dec,0,dec,0,0.091,15,27
std.2_std::list<int>.1,4,1,func_dec,0,dec,2,0.136,15,27
std.4_std::list<int>.3,5,2,func_dec->compound->dec->var_dec,0,dec,0,0.182,15,27
std.2_std::list<int>.1,4,1,func_dec,0,dec,2,0.227,15,27
std.4_std::list<int>.3,5,2,func_dec->compound->dec->var_dec,0,dec,0,0.273,15,27
std.2_std::list<int>.1,4,1,func_dec,0,dec,2,0.318,15,27
afunc.1,4,16,func_dec,0,dec,2,0.364,15,27
std.4_std::list<int>.3,5,2,func_dec->compound->dec->var_dec,0,dec,0,0.409,15,27
afunc.1,4,16,func_dec,0,dec,2,0.455,15,27
std.4_std::list<int>.3,5,2,func_dec->compound->dec->var_dec,0,dec,0,0.5,15,27
afunc.1,4,16,func_dec,0,dec,2,0.545,15,27
std.4_std::list<int>.3,5,2,func_dec->compound->dec->var_dec,0,dec,0,0.591,15,27
num.1,6,12,func_dec->compound->for,1,control,1,0.636,15,27
std.2_std::list<int>.1,4,1,func_dec,0,dec,2,0.682,15,27
std.4_std::list<int>.3,5,2,func_dec->compound->dec->var_dec,0,dec,0,0.727,15,27
std.2_std::list<int>.1,4,1,func_dec,0,dec,2,0.773,15,27
std.4_std::list<int>.3,5,2,func_dec->compound->dec->var_dec,0,dec,0,0.818,15,27
afunc.1,4,16,func_dec,0,dec,2,0.864,15,27
std.4_std::list<int>.3,5,2,func_dec->compound->dec->var_dec,0,dec,0,0.909,15,27
edited.1,5,17,func_dec->compound->dec->var_dec,0,dec,0,0.955,15,27
numList.2,6,18,func_dec->compound->for,1,control,1,1.0,15,27
std.3_std::list<int>.2,4,28,func_dec,0,dec,2,1.0,15,30
std.3_std::list<int>.2,4,28,func_dec,0,dec,2,0.25,15,32
numList.1,4,44,func_dec,0,dec,2,0.5,15,32
edited.1,5,17,func_dec->compound->dec->var_dec,0,dec,0,0.75,15,32
std.3_std::list<int>.2,4,28,func_dec,0,dec,2,1.0,15,32
num.3,8,21,func_dec->compound->for->compound->if->compound->call_exp,2,dec,1,1.0,15,34
numList.1,4,44,func_dec,0,dec,2,1.0,15,35
numList.3,10,20,func_dec->compound->for,1,control,1,1.0,15,37
numList.1,4,44,func_dec,0,dec,2,0.5,15,43
numList.3,10,20,func_dec->compound->for,1,control,1,1.0,15,43
numList.1,4,44,func_dec,0,dec,2,1.0,15,45
num.3,8,21,func_dec->compound->for->compound->if->compound->call_exp,2,dec,1,1.0,15,46
std.3_std::list<int>.2,4,28,func_dec,0,dec,2,1.0,15,51
numList.2,6,18,func_dec->compound->for,1,control,1,0.333,15,52
edited.3,12,3,func_dec->compound->for->compound->if->compound->call_exp,2,dec,1,0.667,15,52
numList.1,4,44,func_dec,0,dec,2,1.0,15,52
edited.1,5,17,func_dec->compound->dec->var_dec,0,dec,0,0.5,15,54
numList.2,6,18,func_dec->compound->for,1,control,1,1.0,15,54
num.3,8,21,func_dec->compound->for->compound->if->compound->call_exp,2,dec,1,1.0,15,55
edited.3,12,3,func_dec->compound->for->compound->if->compound->call_exp,2,dec,1,1.0,15,56
num.3,8,21,func_dec->compound->for->compound->if->compound->call_exp,2,dec,1,1.0,15,59
