token,line,column,semantic,controlnum,feature,complexity,section,stimuli,pid
b.2_cout.1,3,9,func_dec->compound->bi_op,0,cal,0,0.167,6,52
a.2,3,6,func_dec->compound->bi_op,0,cal,0,0.333,6,52
a.2,3,6,func_dec->compound->bi_op,0,cal,0,0.5,6,52
a.2,3,6,func_dec->compound->bi_op,0,cal,0,0.667,6,52
3.1,2,18,func_dec->compound->dec->var_dec,0,dec,0,0.833,6,52
main.1,1,5,func_dec,0,dec,1,1.0,6,52
