token,line,column,semantic,controlnum,feature,complexity,section
result.2,5,3,func_dec->compound->while->compound->if->compound->coumpund_assign,2,cal,2,0.062
if.1,4,3,func_dec->compound->while->compound->if,2,control,4,0.125
result.2,5,3,func_dec->compound->while->compound->if->compound->coumpund_assign,2,cal,2,0.188
if.1,4,3,func_dec->compound->while->compound->if,2,control,4,0.25
*=.1_*.1,6,3,func_dec->compound->while->compound->coumpund_assign,1,cal,2,0.312
x.2,5,11,func_dec->compound->while->compound->if->compound->coumpund_assign,2,cal,2,0.375
!=.1,4,6,func_dec->compound->while->compound->if,2,control,4,0.438
+=.1,5,3,func_dec->compound->while->compound->if->compound->coumpund_assign,2,cal,2,0.5
0.3_=.2,4,11,func_dec->compound->while->compound->if,2,control,4,0.562
result.2,5,3,func_dec->compound->while->compound->if->compound->coumpund_assign,2,cal,2,0.625
0.3_=.2,4,11,func_dec->compound->while->compound->if,2,control,4,0.688
x.3,6,3,func_dec->compound->while->compound->coumpund_assign,1,cal,2,0.75
0.3,4,11,func_dec->compound->while->compound->if,2,control,4,0.812
2.2,6,6,func_dec->compound->while->compound->coumpund_assign,1,cal,2,0.875
result.2,5,3,func_dec->compound->while->compound->if->compound->coumpund_assign,2,cal,2,0.938
2.2,6,6,func_dec->compound->while->compound->coumpund_assign,1,cal,2,1.0
