token,line,column,semantic,controlnum,feature,complexity,section
result.2,7,10,func_dec->compound->if->compound->return,1,return,0,0.018
return.1,7,3,func_dec->compound->if->compound->return,1,return,0,0.036
diff.1,4,51,func_dec,0,dec,2,0.054
sequence.1,4,18,func_dec,0,dec,2,0.071
sequence.1,4,18,func_dec,0,dec,2,0.089
diff.2_-=.1,11,10,func_dec->compound->if->compound->while->compound->coumpund_assign->ref_dec,2,dec,1,0.107
start.3,9,10,func_dec->compound->if->compound->while,2,control,1,0.125
return.1,7,3,func_dec->compound->if->compound->return,1,return,0,0.143
result.2,7,10,func_dec->compound->if->compound->return,1,return,0,0.161
return.1,7,3,func_dec->compound->if->compound->return,1,return,0,0.179
result.2,7,10,func_dec->compound->if->compound->return,1,return,0,0.196
start.3,9,10,func_dec->compound->if->compound->while,2,control,1,0.214
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1,0.232
start.3,9,10,func_dec->compound->if->compound->while,2,control,1,0.25
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1,0.268
start.3,9,10,func_dec->compound->if->compound->while,2,control,1,0.286
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1,0.304
end.3_<=.1,9,19,func_dec->compound->if->compound->while,2,control,1,0.321
diff.2_-=.1,11,10,func_dec->compound->if->compound->while->compound->coumpund_assign->ref_dec,2,dec,1,0.339
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1,0.357
diff.2_-=.1,11,10,func_dec->compound->if->compound->while->compound->coumpund_assign->ref_dec,2,dec,1,0.375
diff.2,11,10,func_dec->compound->if->compound->while->compound->coumpund_assign->ref_dec,2,dec,1,0.393
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1,0.411
diff.2,11,10,func_dec->compound->if->compound->while->compound->coumpund_assign->ref_dec,2,dec,1,0.429
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1,0.446
end.2,6,15,func_dec->compound->if,1,control,1,0.464
std.1_>.1,3,17,USING_DIRECTIVE->ref,0,dec,0,0.482
diff.2,11,10,func_dec->compound->if->compound->while->compound->coumpund_assign->ref_dec,2,dec,1,0.5
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1,0.518
diff.2,11,10,func_dec->compound->if->compound->while->compound->coumpund_assign->ref_dec,2,dec,1,0.536
end.5,11,3,func_dec->compound->if->compound->while->compound->coumpund_assign->ref_dec,2,dec,1,0.554
start.3,9,10,func_dec->compound->if->compound->while,2,control,1,0.571
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1,0.589
start.3,9,10,func_dec->compound->if->compound->while,2,control,1,0.607
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1,0.625
start.3,9,10,func_dec->compound->if->compound->while,2,control,1,0.643
while.1,9,3,func_dec->compound->if->compound->while,2,control,1,0.661
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1,0.679
end.3_<=.1,9,19,func_dec->compound->if->compound->while,2,control,1,0.696
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1,0.714
end.3_<=.1,9,19,func_dec->compound->if->compound->while,2,control,1,0.732
start.3,9,10,func_dec->compound->if->compound->while,2,control,1,0.75
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1,0.768
end.3,9,19,func_dec->compound->if->compound->while,2,control,1,0.786
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1,0.804
end.3_<=.1,9,19,func_dec->compound->if->compound->while,2,control,1,0.821
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1,0.839
end.3_<=.1,9,19,func_dec->compound->if->compound->while,2,control,1,0.857
sequence.1_int.1,4,18,func_dec,0,dec,2,0.875
end.2,6,15,func_dec->compound->if,1,control,1,0.893
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1,0.911
end.5,11,3,func_dec->compound->if->compound->while->compound->coumpund_assign->ref_dec,2,dec,1,0.929
diff.2,11,10,func_dec->compound->if->compound->while->compound->coumpund_assign->ref_dec,2,dec,1,0.946
diff.1,4,51,func_dec,0,dec,2,0.964
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1,0.982
end.3_<=.1,9,19,func_dec->compound->if->compound->while,2,control,1,1.0
