token,line,column,semantic,controlnum,feature,complexity,section
num.5,7,23,func_dec->compound->for->compound->if->compound->coumpund_assign->ref_dec,2,dec,3,0.333
0.2_&&.1,6,19,func_dec->compound->for->compound->if,2,control,5,0.667
0.3,6,35,func_dec->compound->for->compound->if,2,control,5,1.0
