token,line,column,semantic,controlnum,feature,complexity,section
0.2_&&.1,6,19,func_dec->compound->for->compound->if,2,control,5,0.027
num.6_*.2,7,29,func_dec->compound->for->compound->if->compound->coumpund_assign->ref_dec,2,dec,3,0.054
num.6,7,29,func_dec->compound->for->compound->if->compound->coumpund_assign->ref_dec,2,dec,3,0.081
2.1_==.1,6,14,func_dec->compound->for->compound->if,2,control,5,0.108
numbers.2,5,18,func_dec->compound->for,1,control,1,0.135
num.1,5,12,func_dec->compound->for,1,control,1,0.162
0.1,4,16,func_dec->compound->dec->var_dec,0,dec,0,0.189
num.1,5,12,func_dec->compound->for,1,control,1,0.216
num.2,6,8,func_dec->compound->for->compound->if,2,control,5,0.243
num.1,5,12,func_dec->compound->for,1,control,1,0.27
output.1,4,7,func_dec->compound->dec->var_dec,0,dec,0,0.297
0.1,4,16,func_dec->compound->dec->var_dec,0,dec,0,0.324
num.1,5,12,func_dec->compound->for,1,control,1,0.351
num.4,7,17,func_dec->compound->for->compound->if->compound->coumpund_assign->ref_dec,2,dec,3,0.378
num.1,5,12,func_dec->compound->for,1,control,1,0.405
output.1_int.3,4,7,func_dec->compound->dec->var_dec,0,dec,0,0.432
if.1,6,5,func_dec->compound->for->compound->if,2,control,5,0.459
4.1,6,30,func_dec->compound->for->compound->if,2,control,5,0.486
num.4,7,17,func_dec->compound->for->compound->if->compound->coumpund_assign->ref_dec,2,dec,3,0.514
2.1,6,14,func_dec->compound->for->compound->if,2,control,5,0.541
output.1_int.3,4,7,func_dec->compound->dec->var_dec,0,dec,0,0.568
if.1,6,5,func_dec->compound->for->compound->if,2,control,5,0.595
output.1_int.3,4,7,func_dec->compound->dec->var_dec,0,dec,0,0.622
if.1,6,5,func_dec->compound->for->compound->if,2,control,5,0.649
output.1_int.3,4,7,func_dec->compound->dec->var_dec,0,dec,0,0.676
if.1,6,5,func_dec->compound->for->compound->if,2,control,5,0.703
output.1_int.3,4,7,func_dec->compound->dec->var_dec,0,dec,0,0.73
if.1,6,5,func_dec->compound->for->compound->if,2,control,5,0.757
output.1_int.3,4,7,func_dec->compound->dec->var_dec,0,dec,0,0.784
if.1,6,5,func_dec->compound->for->compound->if,2,control,5,0.811
output.1_int.3,4,7,func_dec->compound->dec->var_dec,0,dec,0,0.838
if.1,6,5,func_dec->compound->for->compound->if,2,control,5,0.865
output.1_int.3,4,7,func_dec->compound->dec->var_dec,0,dec,0,0.892
if.1,6,5,func_dec->compound->for->compound->if,2,control,5,0.919
output.1_int.3,4,7,func_dec->compound->dec->var_dec,0,dec,0,0.946
if.1,6,5,func_dec->compound->for->compound->if,2,control,5,0.973
num.2,6,8,func_dec->compound->for->compound->if,2,control,5,1.0
