token,line,column,semantic,controlnum,feature,complexity,section,stimuli,pid
cout.2_<<.1,5,8,class_dec->cons->compound->label,0,dec,0,0.111,5,1
std.1,5,5,class_dec->cons->compound->label,0,dec,0,0.222,5,1
cout.2,5,8,class_dec->cons->compound->label,0,dec,0,0.333,5,1
std.1,5,5,class_dec->cons->compound->label,0,dec,0,0.444,5,1
cout.2,5,8,class_dec->cons->compound->label,0,dec,0,0.556,5,1
cout.2,5,8,class_dec->cons->compound->label,0,dec,0,0.667,5,1
t2.1_*.1,11,14,func_dec->compound->dec->var_dec,0,dec,1,0.778,5,1
cout.2_Constructor.1,5,8,class_dec->cons->compound->label,0,dec,0,0.889,5,1
t2.1_*.1,11,14,func_dec->compound->dec->var_dec,0,dec,1,1.0,5,1
cout.2_Constructor.1,5,8,class_dec->cons->compound->label,0,dec,0,0.077,5,7
cout.2,5,8,class_dec->cons->compound->label,0,dec,0,0.154,5,7
main.1,9,5,func_dec,0,dec,1,0.231,5,7
t2.1_*.1,11,14,func_dec->compound->dec->var_dec,0,dec,1,0.308,5,7
t1.1,11,9,func_dec->compound->dec->var_dec,0,dec,1,0.385,5,7
cout.2_<<.1,5,8,class_dec->cons->compound->label,0,dec,0,0.462,5,7
t2.1_*.1,11,14,func_dec->compound->dec->var_dec,0,dec,1,0.538,5,7
Point.1,2,7,class_dec,0,dec,0,0.615,5,7
public:.1_public.1,3,3,class_dec->spec_dec,0,dec,0,0.692,5,7
return.1,12,3,func_dec->compound->return,0,return,0,0.769,5,7
t1.1,11,9,func_dec->compound->dec->var_dec,0,dec,1,0.846,5,7
return.1,12,3,func_dec->compound->return,0,return,0,0.923,5,7
Point.3,11,9,func_dec->compound->dec->var_dec,0,dec,1,1.0,5,7
main.1,9,5,func_dec,0,dec,1,0.125,5,14
return.1,12,3,func_dec->compound->return,0,return,0,0.25,5,14
cout.2_<<.1,5,8,class_dec->cons->compound->label,0,dec,0,0.375,5,14
cout.2,5,8,class_dec->cons->compound->label,0,dec,0,0.5,5,14
t2.1_*.1,11,14,func_dec->compound->dec->var_dec,0,dec,1,0.625,5,14
t1.1,11,9,func_dec->compound->dec->var_dec,0,dec,1,0.75,5,14
cout.2,5,8,class_dec->cons->compound->label,0,dec,0,0.875,5,14
t1.1,11,9,func_dec->compound->dec->var_dec,0,dec,1,1.0,5,14
cout.2_Constructor.1,5,8,class_dec->cons->compound->label,0,dec,0,0.143,5,17
cout.2,5,8,class_dec->cons->compound->label,0,dec,0,0.286,5,17
cout.2,5,8,class_dec->cons->compound->label,0,dec,0,0.429,5,17
cout.2,5,8,class_dec->cons->compound->label,0,dec,0,0.571,5,17
t2.1_*.1,11,14,func_dec->compound->dec->var_dec,0,dec,1,0.714,5,17
cout.2_<<.1,5,8,class_dec->cons->compound->label,0,dec,0,0.857,5,17
cout.2,5,8,class_dec->cons->compound->label,0,dec,0,1.0,5,17
std.1,5,5,class_dec->cons->compound->label,0,dec,0,0.125,5,21
Point.2_().1,4,3,class_dec->cons,0,dec,1,0.25,5,21
std.1,5,5,class_dec->cons->compound->label,0,dec,0,0.375,5,21
Point.3,11,9,func_dec->compound->dec->var_dec,0,dec,1,0.5,5,21
return.1,12,3,func_dec->compound->return,0,return,0,0.625,5,21
Point.2,4,3,class_dec->cons,0,dec,1,0.75,5,21
cout.2,5,8,class_dec->cons->compound->label,0,dec,0,0.875,5,21
std.1,5,5,class_dec->cons->compound->label,0,dec,0,1.0,5,21
t2.1_*.1,11,14,func_dec->compound->dec->var_dec,0,dec,1,0.167,5,27
Point.3,11,9,func_dec->compound->dec->var_dec,0,dec,1,0.333,5,27
return.1,12,3,func_dec->compound->return,0,return,0,0.5,5,27
Point.3,11,9,func_dec->compound->dec->var_dec,0,dec,1,0.667,5,27
return.1,12,3,func_dec->compound->return,0,return,0,0.833,5,27
t1.1,11,9,func_dec->compound->dec->var_dec,0,dec,1,1.0,5,27
cout.2,5,8,class_dec->cons->compound->label,0,dec,0,1.0,5,28
std.1,5,5,class_dec->cons->compound->label,0,dec,0,0.167,5,33
cout.2,5,8,class_dec->cons->compound->label,0,dec,0,0.333,5,33
return.1,12,3,func_dec->compound->return,0,return,0,0.5,5,33
Point.3,11,9,func_dec->compound->dec->var_dec,0,dec,1,0.667,5,33
t1.1,11,9,func_dec->compound->dec->var_dec,0,dec,1,0.833,5,33
cout.2,5,8,class_dec->cons->compound->label,0,dec,0,1.0,5,33
cout.2,5,8,class_dec->cons->compound->label,0,dec,0,0.333,5,38
t2.1_*.1,11,14,func_dec->compound->dec->var_dec,0,dec,1,0.667,5,38
cout.2,5,8,class_dec->cons->compound->label,0,dec,0,1.0,5,38
public:.1_public.1,3,3,class_dec->spec_dec,0,dec,0,0.067,5,51
Point.1,2,7,class_dec,0,dec,0,0.133,5,51
public:.1_public.1,3,3,class_dec->spec_dec,0,dec,0,0.2,5,51
Point.2_().1,4,3,class_dec->cons,0,dec,1,0.267,5,51
t1.1,11,9,func_dec->compound->dec->var_dec,0,dec,1,0.333,5,51
return.1,12,3,func_dec->compound->return,0,return,0,0.4,5,51
t1.1,11,9,func_dec->compound->dec->var_dec,0,dec,1,0.467,5,51
Point.2_().1,4,3,class_dec->cons,0,dec,1,0.533,5,51
public:.1_public.1,3,3,class_dec->spec_dec,0,dec,0,0.6,5,51
cout.2,5,8,class_dec->cons->compound->label,0,dec,0,0.667,5,51
main.1,9,5,func_dec,0,dec,1,0.733,5,51
t1.1,11,9,func_dec->compound->dec->var_dec,0,dec,1,0.8,5,51
Point.3,11,9,func_dec->compound->dec->var_dec,0,dec,1,0.867,5,51
cout.2,5,8,class_dec->cons->compound->label,0,dec,0,0.933,5,51
t1.1,11,9,func_dec->compound->dec->var_dec,0,dec,1,1.0,5,51
main.1,9,5,func_dec,0,dec,1,0.062,5,52
cout.2,5,8,class_dec->cons->compound->label,0,dec,0,0.125,5,52
std.1,5,5,class_dec->cons->compound->label,0,dec,0,0.188,5,52
Point.2_().1,4,3,class_dec->cons,0,dec,1,0.25,5,52
std.1,5,5,class_dec->cons->compound->label,0,dec,0,0.312,5,52
Point.2_().1,4,3,class_dec->cons,0,dec,1,0.375,5,52
main.1,9,5,func_dec,0,dec,1,0.438,5,52
cout.2,5,8,class_dec->cons->compound->label,0,dec,0,0.5,5,52
t1.1,11,9,func_dec->compound->dec->var_dec,0,dec,1,0.562,5,52
cout.2_called.1,5,8,class_dec->cons->compound->label,0,dec,0,0.625,5,52
cout.2,5,8,class_dec->cons->compound->label,0,dec,0,0.688,5,52
cout.2,5,8,class_dec->cons->compound->label,0,dec,0,0.75,5,52
t1.1,11,9,func_dec->compound->dec->var_dec,0,dec,1,0.812,5,52
cout.2,5,8,class_dec->cons->compound->label,0,dec,0,0.875,5,52
return.1,12,3,func_dec->compound->return,0,return,0,0.938,5,52
cout.2,5,8,class_dec->cons->compound->label,0,dec,0,1.0,5,52
cout.2_<<.1,5,8,class_dec->cons->compound->label,0,dec,0,0.143,5,54
cout.2,5,8,class_dec->cons->compound->label,0,dec,0,0.286,5,54
t2.1_*.1,11,14,func_dec->compound->dec->var_dec,0,dec,1,0.429,5,54
cout.2,5,8,class_dec->cons->compound->label,0,dec,0,0.571,5,54
cout.2,5,8,class_dec->cons->compound->label,0,dec,0,0.714,5,54
cout.2,5,8,class_dec->cons->compound->label,0,dec,0,0.857,5,54
cout.2,5,8,class_dec->cons->compound->label,0,dec,0,1.0,5,54
cout.2,5,8,class_dec->cons->compound->label,0,dec,0,0.062,5,56
Point.1,2,7,class_dec,0,dec,0,0.125,5,56
Point.2_().1,4,3,class_dec->cons,0,dec,1,0.188,5,56
cout.2,5,8,class_dec->cons->compound->label,0,dec,0,0.25,5,56
Point.1,2,7,class_dec,0,dec,0,0.312,5,56
public:.1_public.1,3,3,class_dec->spec_dec,0,dec,0,0.375,5,56
cout.2,5,8,class_dec->cons->compound->label,0,dec,0,0.438,5,56
Point.1,2,7,class_dec,0,dec,0,0.5,5,56
public:.1_public.1,3,3,class_dec->spec_dec,0,dec,0,0.562,5,56
std.1,5,5,class_dec->cons->compound->label,0,dec,0,0.625,5,56
cout.2,5,8,class_dec->cons->compound->label,0,dec,0,0.688,5,56
std.1,5,5,class_dec->cons->compound->label,0,dec,0,0.75,5,56
cout.2,5,8,class_dec->cons->compound->label,0,dec,0,0.812,5,56
main.1,9,5,func_dec,0,dec,1,0.875,5,56
t1.1,11,9,func_dec->compound->dec->var_dec,0,dec,1,0.938,5,56
cout.2,5,8,class_dec->cons->compound->label,0,dec,0,1.0,5,56
cout.2,5,8,class_dec->cons->compound->label,0,dec,0,0.067,5,57
Point.2_().1,4,3,class_dec->cons,0,dec,1,0.133,5,57
std.1,5,5,class_dec->cons->compound->label,0,dec,0,0.2,5,57
cout.2,5,8,class_dec->cons->compound->label,0,dec,0,0.267,5,57
cout.2,5,8,class_dec->cons->compound->label,0,dec,0,0.333,5,57
return.1,12,3,func_dec->compound->return,0,return,0,0.4,5,57
cout.2_<<.1,5,8,class_dec->cons->compound->label,0,dec,0,0.467,5,57
cout.2,5,8,class_dec->cons->compound->label,0,dec,0,0.533,5,57
cout.2,5,8,class_dec->cons->compound->label,0,dec,0,0.6,5,57
Point.2_().1,4,3,class_dec->cons,0,dec,1,0.667,5,57
std.1,5,5,class_dec->cons->compound->label,0,dec,0,0.733,5,57
Point.2_().1,4,3,class_dec->cons,0,dec,1,0.8,5,57
std.1,5,5,class_dec->cons->compound->label,0,dec,0,0.867,5,57
cout.2,5,8,class_dec->cons->compound->label,0,dec,0,0.933,5,57
t2.1_*.1,11,14,func_dec->compound->dec->var_dec,0,dec,1,1.0,5,57
