token,line,column,semantic,controlnum,feature,complexity,section,stimuli,pid
num2.1,2,25,func_dec,0,dec,1,1.0,21,1
num2.1,2,25,func_dec,0,dec,1,1.0,21,2
num2.1,2,25,func_dec,0,dec,1,0.333,21,3
num2.3,5,14,func_dec->compound->if->if,2,control,1,0.667,21,3
num1.1,2,15,func_dec,0,dec,1,1.0,21,3
num2.1,2,25,func_dec,0,dec,1,0.333,21,5
num1.3,4,21,func_dec->compound->if->compound->return,1,return,1,0.667,21,5
+.1,4,16,func_dec->compound->if->compound->return,1,return,1,1.0,21,5
num1.3,4,21,func_dec->compound->if->compound->return,1,return,1,1.0,21,6
num2.1,2,25,func_dec,0,dec,1,1.0,21,11
num2.1,2,25,func_dec,0,dec,1,1.0,21,20
num2.1_int.3,2,25,func_dec,0,dec,1,0.5,21,21
num1.1,2,15,func_dec,0,dec,1,1.0,21,21
num2.1,2,25,func_dec,0,dec,1,1.0,21,24
num2.1,2,25,func_dec,0,dec,1,0.5,21,29
==.2,5,14,func_dec->compound->if->if,2,control,1,1.0,21,29
num2.1,2,25,func_dec,0,dec,1,1.0,21,30
num1.3,4,21,func_dec->compound->if->compound->return,1,return,1,1.0,21,33
num1.3,4,21,func_dec->compound->if->compound->return,1,return,1,0.333,21,40
num1.5,8,22,func_dec->compound->if->if->compound->return,2,return,3,0.667,21,40
afunc.2,8,16,func_dec->compound->if->if->compound->return,2,return,3,1.0,21,40
if.1,3,5,func_dec->compound->if,1,control,1,0.333,21,46
afunc.1,2,5,func_dec,0,dec,1,0.667,21,46
num1.1,2,15,func_dec,0,dec,1,1.0,21,46
num1.5,8,22,func_dec->compound->if->if->compound->return,2,return,3,0.167,21,51
num2.1_int.3,2,25,func_dec,0,dec,1,0.333,21,51
num2.2,4,16,func_dec->compound->if->compound->return,1,return,1,0.5,21,51
if.2,5,11,func_dec->compound->if->if,2,control,1,0.667,21,51
return.2,6,9,func_dec->compound->if->if->compound->return,2,return,1,0.833,21,51
num1.4,6,16,func_dec->compound->if->if->compound->return,2,return,1,1.0,21,51
num2.3,5,14,func_dec->compound->if->if,2,control,1,1.0,21,52
0.2,5,20,func_dec->compound->if->if,2,control,1,1.0,21,55
1.1,8,27,func_dec->compound->if->if->compound->return,2,return,3,1.0,21,59
