token,line,column,semantic,controlnum,feature,complexity,section
numbers.1,3,35,func_dec,0,dec,3,0.333
4.1_==.2,6,30,func_dec->compound->for->compound->if,2,control,5,0.667
0.3,6,35,func_dec->compound->for->compound->if,2,control,5,1.0
