token,line,column,semantic,controlnum,feature,complexity,section
size.3,2,51,func_dec->compound->dec->var_dec,0,dec,7,0.053
arr.2,2,21,func_dec->compound->dec->var_dec,0,dec,7,0.105
1.3,2,63,func_dec->compound->dec->var_dec,0,dec,7,0.158
0.2,3,19,func_dec->compound->dec->var_dec,0,dec,0,0.211
arr.2,2,21,func_dec->compound->dec->var_dec,0,dec,7,0.263
arr.3,2,31,func_dec->compound->dec->var_dec,0,dec,7,0.316
arr.1,1,18,func_dec,0,dec,1,0.368
arr.2,2,21,func_dec->compound->dec->var_dec,0,dec,7,0.421
arr.2,2,21,func_dec->compound->dec->var_dec,0,dec,7,0.474
expectedSum.2_+=.1,7,16,func_dec->compound->dec->var_dec,0,dec,1,0.526
arr.2,2,21,func_dec->compound->dec->var_dec,0,dec,7,0.579
expectedSum.2,7,16,func_dec->compound->dec->var_dec,0,dec,1,0.632
arr.1_i.2,1,18,func_dec,0,dec,1,0.684
actualSum.2_actualSum.3,7,30,func_dec->compound->dec->var_dec,0,dec,1,0.737
expectedSum.2,7,16,func_dec->compound->dec->var_dec,0,dec,1,0.789
arr.2,2,21,func_dec->compound->dec->var_dec,0,dec,7,0.842
0.2,3,19,func_dec->compound->dec->var_dec,0,dec,0,0.895
expectedSum.2,7,16,func_dec->compound->dec->var_dec,0,dec,1,0.947
expectedSum.2,7,16,func_dec->compound->dec->var_dec,0,dec,1,1.0
