token,line,column,semantic,controlnum,feature,complexity,section
std.2_std::vector<int>.1,4,1,func_dec,0,dec,2,0.015
std.3_std::vector<int>.2,5,3,func_dec->compound->dec->var_dec,0,dec,1,0.03
std.2_std::vector<int>.1,4,1,func_dec,0,dec,2,0.045
sequence.1,4,18,func_dec,0,dec,2,0.061
start.2,6,7,func_dec->compound->if,1,control,1,0.076
std.1_>.1,3,17,USING_DIRECTIVE->ref,0,dec,0,0.091
end.2,6,15,func_dec->compound->if,1,control,1,0.106
std.1_>.1,3,17,USING_DIRECTIVE->ref,0,dec,0,0.121
end.2,6,15,func_dec->compound->if,1,control,1,0.136
start.2,6,7,func_dec->compound->if,1,control,1,0.152
sequence.1,4,18,func_dec,0,dec,2,0.167
result.2,7,10,func_dec->compound->if->compound->return,1,return,0,0.182
end.3_<=.1,9,19,func_dec->compound->if->compound->while,2,control,1,0.197
start.3,9,10,func_dec->compound->if->compound->while,2,control,1,0.212
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1,0.227
start.3,9,10,func_dec->compound->if->compound->while,2,control,1,0.242
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1,0.258
end.3,9,19,func_dec->compound->if->compound->while,2,control,1,0.273
start.3,9,10,func_dec->compound->if->compound->while,2,control,1,0.288
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1,0.303
start.3,9,10,func_dec->compound->if->compound->while,2,control,1,0.318
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1,0.333
diff.2,11,10,func_dec->compound->if->compound->while->compound->coumpund_assign->ref_dec,2,dec,1,0.348
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1,0.364
diff.2,11,10,func_dec->compound->if->compound->while->compound->coumpund_assign->ref_dec,2,dec,1,0.379
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1,0.394
diff.2,11,10,func_dec->compound->if->compound->while->compound->coumpund_assign->ref_dec,2,dec,1,0.409
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1,0.424
diff.2,11,10,func_dec->compound->if->compound->while->compound->coumpund_assign->ref_dec,2,dec,1,0.439
std.1_>.1,3,17,USING_DIRECTIVE->ref,0,dec,0,0.455
return.1,7,3,func_dec->compound->if->compound->return,1,return,0,0.47
std.1_>.1,3,17,USING_DIRECTIVE->ref,0,dec,0,0.485
std.3_std::vector<int>.2,5,3,func_dec->compound->dec->var_dec,0,dec,1,0.5
start.2,6,7,func_dec->compound->if,1,control,1,0.515
return.1,7,3,func_dec->compound->if->compound->return,1,return,0,0.53
std.3_std::vector<int>.2,5,3,func_dec->compound->dec->var_dec,0,dec,1,0.545
start.2,6,7,func_dec->compound->if,1,control,1,0.561
return.1,7,3,func_dec->compound->if->compound->return,1,return,0,0.576
start.2,6,7,func_dec->compound->if,1,control,1,0.591
return.1,7,3,func_dec->compound->if->compound->return,1,return,0,0.606
std.1_>.1,3,17,USING_DIRECTIVE->ref,0,dec,0,0.621
result.1,5,20,func_dec->compound->dec->var_dec,0,dec,1,0.636
sequence.1,4,18,func_dec,0,dec,2,0.652
std.3_std::vector<int>.2,5,3,func_dec->compound->dec->var_dec,0,dec,1,0.667
std.2_std::vector<int>.1,4,1,func_dec,0,dec,2,0.682
std.3_std::vector<int>.2,5,3,func_dec->compound->dec->var_dec,0,dec,1,0.697
result.2,7,10,func_dec->compound->if->compound->return,1,return,0,0.712
return.1,7,3,func_dec->compound->if->compound->return,1,return,0,0.727
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1,0.742
end.3,9,19,func_dec->compound->if->compound->while,2,control,1,0.758
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1,0.773
diff.1,4,51,func_dec,0,dec,2,0.788
end.1,4,42,func_dec,0,dec,2,0.803
diff.1,4,51,func_dec,0,dec,2,0.818
end.1,4,42,func_dec,0,dec,2,0.833
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1,0.848
start.3,9,10,func_dec->compound->if->compound->while,2,control,1,0.864
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1,0.879
start.3,9,10,func_dec->compound->if->compound->while,2,control,1,0.894
start.3,9,10,func_dec->compound->if->compound->while,2,control,1,0.909
start.3,9,10,func_dec->compound->if->compound->while,2,control,1,0.924
end.3,9,19,func_dec->compound->if->compound->while,2,control,1,0.939
result.3,10,3,func_dec->compound->if->compound->while->compound->call_exp,2,dec,1,0.955
end.3,9,19,func_dec->compound->if->compound->while,2,control,1,0.97
result.2,7,10,func_dec->compound->if->compound->return,1,return,0,0.985
end.3_<=.1,9,19,func_dec->compound->if->compound->while,2,control,1,1.0
