token,line,column,semantic,controlnum,feature,complexity,section
numbers.2,5,18,func_dec->compound->for,1,control,1,0.071
0.2,6,19,func_dec->compound->for->compound->if,2,control,5,0.143
0.2,6,19,func_dec->compound->for->compound->if,2,control,5,0.214
num.4,7,17,func_dec->compound->for->compound->if->compound->coumpund_assign->ref_dec,2,dec,3,0.286
numbers.2,5,18,func_dec->compound->for,1,control,1,0.357
0.2,6,19,func_dec->compound->for->compound->if,2,control,5,0.429
std.1_std::vector<int>.1,3,17,func_dec,0,dec,3,0.5
numbers.2,5,18,func_dec->compound->for,1,control,1,0.571
0.2_&&.1,6,19,func_dec->compound->for->compound->if,2,control,5,0.643
num.3,6,24,func_dec->compound->for->compound->if,2,control,5,0.714
0.3,6,35,func_dec->compound->for->compound->if,2,control,5,0.786
num.1,5,12,func_dec->compound->for,1,control,1,0.857
output.1_int.3,4,7,func_dec->compound->dec->var_dec,0,dec,0,0.929
num.6_*.2,7,29,func_dec->compound->for->compound->if->compound->coumpund_assign->ref_dec,2,dec,3,1.0
