token,line,column,semantic,controlnum,feature,complexity,section
mystery1.1,8,17,func_dec->compound->switch->compound->default->dec->var_dec,1,dec,0,0.004
1.2,6,14,func_dec->compound->switch->compound->case->return,1,return,0,0.009
mystery1.1_long.3,8,17,func_dec->compound->switch->compound->default->dec->var_dec,1,dec,0,0.013
return.2_default.1,6,7,func_dec->compound->switch->compound->case->return,1,return,0,0.017
mystery1.1_long.4,8,17,func_dec->compound->switch->compound->default->dec->var_dec,1,dec,0,0.022
=.1_mystery1.3,13,9,func_dec->compound->switch->compound->for->compound->bi_op,2,cal,3,0.026
mystery1.1_long.4,8,17,func_dec->compound->switch->compound->default->dec->var_dec,1,dec,0,0.031
mystery2.1_long.6,9,17,func_dec->compound->switch->compound->dec->var_dec,1,dec,0,0.035
mystery1.1_long.3,8,17,func_dec->compound->switch->compound->default->dec->var_dec,1,dec,0,0.039
return.2_default.1,6,7,func_dec->compound->switch->compound->case->return,1,return,0,0.044
return.2,6,7,func_dec->compound->switch->compound->case->return,1,return,0,0.048
mystery1.1_long.3,8,17,func_dec->compound->switch->compound->default->dec->var_dec,1,dec,0,0.052
return.2_default.1,6,7,func_dec->compound->switch->compound->case->return,1,return,0,0.057
mystery2.1_long.6,9,17,func_dec->compound->switch->compound->dec->var_dec,1,dec,0,0.061
mystery1.1_long.4,8,17,func_dec->compound->switch->compound->default->dec->var_dec,1,dec,0,0.066
mystery2.1_long.6,9,17,func_dec->compound->switch->compound->dec->var_dec,1,dec,0,0.07
mystery1.1_long.4,8,17,func_dec->compound->switch->compound->default->dec->var_dec,1,dec,0,0.074
return.2_default.1,6,7,func_dec->compound->switch->compound->case->return,1,return,0,0.079
return.2,6,7,func_dec->compound->switch->compound->case->return,1,return,0,0.083
mystery1.1_long.3,8,17,func_dec->compound->switch->compound->default->dec->var_dec,1,dec,0,0.087
mystery2.1_long.5,9,17,func_dec->compound->switch->compound->dec->var_dec,1,dec,0,0.092
mystery1.1_long.3,8,17,func_dec->compound->switch->compound->default->dec->var_dec,1,dec,0,0.096
mystery2.1_long.6,9,17,func_dec->compound->switch->compound->dec->var_dec,1,dec,0,0.1
mystery1.1_long.4,8,17,func_dec->compound->switch->compound->default->dec->var_dec,1,dec,0,0.105
mystery2.1_long.6,9,17,func_dec->compound->switch->compound->dec->var_dec,1,dec,0,0.109
mystery1.1_long.4,8,17,func_dec->compound->switch->compound->default->dec->var_dec,1,dec,0,0.114
1.3,9,26,func_dec->compound->switch->compound->dec->var_dec,1,dec,0,0.118
mystery2.1,9,17,func_dec->compound->switch->compound->dec->var_dec,1,dec,0,0.122
mystery1.1,8,17,func_dec->compound->switch->compound->default->dec->var_dec,1,dec,0,0.127
mystery2.1,9,17,func_dec->compound->switch->compound->dec->var_dec,1,dec,0,0.131
mystery1.1,8,17,func_dec->compound->switch->compound->default->dec->var_dec,1,dec,0,0.135
mystery2.1,9,17,func_dec->compound->switch->compound->dec->var_dec,1,dec,0,0.14
1.3,9,26,func_dec->compound->switch->compound->dec->var_dec,1,dec,0,0.144
++i.1,10,26,func_dec->compound->switch->compound->for->bi_op,2,cal,2,0.148
i.2,10,21,func_dec->compound->switch->compound->for->bi_op,2,cal,2,0.153
2.1,10,18,func_dec->compound->switch->compound->for->bi_op,2,cal,2,0.157
return.2,6,7,func_dec->compound->switch->compound->case->return,1,return,0,0.162
mystery1.1_long.3,8,17,func_dec->compound->switch->compound->default->dec->var_dec,1,dec,0,0.166
mystery3.2_=.5,13,18,func_dec->compound->switch->compound->for->compound->bi_op,2,cal,3,0.17
mystery2.3,15,14,func_dec->compound->switch->compound->return,1,return,0,0.175
mystery3.1,11,19,func_dec->compound->switch->compound->for->compound->dec->var_dec,2,dec,3,0.179
1.3_=.2,9,26,func_dec->compound->switch->compound->dec->var_dec,1,dec,0,0.183
2.1,10,18,func_dec->compound->switch->compound->for->bi_op,2,cal,2,0.188
i.1,10,16,func_dec->compound->switch->compound->for->bi_op,2,cal,2,0.192
mystery3.1_long.8,11,19,func_dec->compound->switch->compound->for->compound->dec->var_dec,2,dec,3,0.197
2.1,10,18,func_dec->compound->switch->compound->for->bi_op,2,cal,2,0.201
i.2,10,21,func_dec->compound->switch->compound->for->bi_op,2,cal,2,0.205
++i.1,10,26,func_dec->compound->switch->compound->for->bi_op,2,cal,2,0.21
mystery1.2,11,28,func_dec->compound->switch->compound->for->compound->dec->var_dec,2,dec,3,0.214
mystery2.3,15,14,func_dec->compound->switch->compound->return,1,return,0,0.218
++i.1,10,26,func_dec->compound->switch->compound->for->bi_op,2,cal,2,0.223
mystery1.2,11,28,func_dec->compound->switch->compound->for->compound->dec->var_dec,2,dec,3,0.227
mystery3.1,11,19,func_dec->compound->switch->compound->for->compound->dec->var_dec,2,dec,3,0.231
mystery2.3,15,14,func_dec->compound->switch->compound->return,1,return,0,0.236
mystery3.1,11,19,func_dec->compound->switch->compound->for->compound->dec->var_dec,2,dec,3,0.24
