token,line,column,semantic,controlnum,feature,complexity,section
1.1,2,42,func_dec->compound->dec->var_dec,0,dec,7,0.333
expectedSum.2_+=.1,7,16,func_dec->compound->dec->var_dec,0,dec,1,0.667
expectedSum.2,7,16,func_dec->compound->dec->var_dec,0,dec,1,1.0
