token,line,column,semantic,controlnum,feature,complexity,section
target.2,6,16,func_dec->compound->for->compound->if,2,control,1,0.25
num.2,6,9,func_dec->compound->for->compound->if,2,control,1,0.5
numbers.2,5,18,func_dec->compound->for,1,control,1,0.75
std.2_std::vector<int>.1,3,18,func_dec,0,dec,3,1.0
