node,Line,Column,semanic,controlnum,feature,complexity
afunc.1,2,5,func_dec,0,dec,1
num1.1,2,15,func_dec,0,dec,1
num2.1,2,25,func_dec,0,dec,1
if.1,3,5,func_dec->compound->if,1,control,1
==.1,3,9,func_dec->compound->if,1,control,1
num1.2,3,9,func_dec->compound->if,1,control,1
0.1,3,15,func_dec->compound->if,1,control,1
return.1,4,9,func_dec->compound->if->compound->return,1,return,1
+.1,4,16,func_dec->compound->if->compound->return,1,return,1
num2.2,4,16,func_dec->compound->if->compound->return,1,return,1
num1.3,4,21,func_dec->compound->if->compound->return,1,return,1
if.2,5,11,func_dec->compound->if->if,2,control,1
==.2,5,14,func_dec->compound->if->if,2,control,1
num2.3,5,14,func_dec->compound->if->if,2,control,1
0.2,5,20,func_dec->compound->if->if,2,control,1
return.2,6,9,func_dec->compound->if->if->compound->return,2,return,1
*.1,6,16,func_dec->compound->if->if->compound->return,2,return,1
num1.4,6,16,func_dec->compound->if->if->compound->return,2,return,1
2.1,6,21,func_dec->compound->if->if->compound->return,2,return,1
return.3,8,9,func_dec->compound->if->if->compound->return,2,return,3
afunc.2,8,16,func_dec->compound->if->if->compound->return,2,return,3
-.1,8,22,func_dec->compound->if->if->compound->return,2,return,3
num1.5,8,22,func_dec->compound->if->if->compound->return,2,return,3
1.1,8,27,func_dec->compound->if->if->compound->return,2,return,3
-.2,8,30,func_dec->compound->if->if->compound->return,2,return,3
num2.4,8,30,func_dec->compound->if->if->compound->return,2,return,3
1.2,8,35,func_dec->compound->if->if->compound->return,2,return,3
