node,Line,Column,semanic,controlnum,feature,complexity
std.1,2,17,USING_DIRECTIVE->ref,0,dec,0
afunc.1,3,6,func_dec,0,dec,3
std.2,3,18,func_dec,0,dec,3
vector.1,3,23,func_dec,0,dec,3
numbers.1,3,36,func_dec,0,dec,3
target.1,3,49,func_dec,0,dec,3
count.1,4,7,func_dec->compound->dec->var_dec,0,dec,0
0.1,4,15,func_dec->compound->dec->var_dec,0,dec,0
for.1,5,3,func_dec->compound->for,1,control,1
num.1,5,12,func_dec->compound->for,1,control,1
:.1,5,16,func_dec->compound->for,1,control,1
numbers.2,5,18,func_dec->compound->for,1,control,1
if.1,6,5,func_dec->compound->for->compound->if,2,control,1
num.2,6,9,func_dec->compound->for->compound->if,2,control,1
target.2,6,16,func_dec->compound->for->compound->if,2,control,1
count++.1,7,7,func_dec->compound->for->compound->if->compound->unary,2,cal,1
count.2,7,7,func_dec->compound->for->compound->if->compound->unary,2,cal,1
if.2,8,7,func_dec->compound->for->compound->if->compound->if,3,control,1
count.3,8,10,func_dec->compound->for->compound->if->compound->if,3,control,1
3.1,8,19,func_dec->compound->for->compound->if->compound->if,3,control,1
return.1,9,9,func_dec->compound->for->compound->if->compound->if->compound->return,3,return,0
true.1,9,16,func_dec->compound->for->compound->if->compound->if->compound->return,3,return,0
return.2,13,3,func_dec->compound->return,0,return,0
false.1,13,10,func_dec->compound->return,0,return,0
