node,Line,Column,semanic,controlnum,feature,complexity
std.1,3,17,USING_DIRECTIVE->ref,0,dec,0
std.2,4,1,func_dec,0,dec,2
list.1,4,6,func_dec,0,dec,2
afunc.1,4,16,func_dec,0,dec,2
std.3,4,28,func_dec,0,dec,2
list.2,4,33,func_dec,0,dec,2
numList.1,4,44,func_dec,0,dec,2
std.4,5,2,func_dec->compound->dec->var_dec,0,dec,0
list.3,5,7,func_dec->compound->dec->var_dec,0,dec,0
edited.1,5,17,func_dec->compound->dec->var_dec,0,dec,0
list.4,5,17,func_dec->compound->dec->var_dec,0,dec,0
for.1,6,3,func_dec->compound->for,1,control,1
num.1,6,12,func_dec->compound->for,1,control,1
:.1,6,16,func_dec->compound->for,1,control,1
numList.2,6,18,func_dec->compound->for,1,control,1
if.1,7,3,func_dec->compound->for->compound->if,2,control,1
num.2,7,6,func_dec->compound->for->compound->if,2,control,1
0.1,7,13,func_dec->compound->for->compound->if,2,control,1
push_front.1,8,3,func_dec->compound->for->compound->if->compound->call_exp,2,dec,1
edited.2,8,3,func_dec->compound->for->compound->if->compound->call_exp,2,dec,1
edited.push_front.1,8,10,func_dec->compound->for->compound->if->compound->call_exp,2,dec,1
num.3,8,21,func_dec->compound->for->compound->if->compound->call_exp,2,dec,1
for.2,10,5,func_dec->compound->for,1,control,1
num.4,10,14,func_dec->compound->for,1,control,1
:.2,10,18,func_dec->compound->for,1,control,1
numList.3,10,20,func_dec->compound->for,1,control,1
if.2,11,3,func_dec->compound->for->compound->if,2,control,2
num.5,11,7,func_dec->compound->for->compound->if,2,control,2
0.2,11,14,func_dec->compound->for->compound->if,2,control,2
push_back.1,12,3,func_dec->compound->for->compound->if->compound->call_exp,2,dec,1
edited.3,12,3,func_dec->compound->for->compound->if->compound->call_exp,2,dec,1
edited.push_back.1,12,10,func_dec->compound->for->compound->if->compound->call_exp,2,dec,1
num.6,12,20,func_dec->compound->for->compound->if->compound->call_exp,2,dec,1
return.1,14,5,func_dec->compound->return,0,return,0
list.5,14,12,func_dec->compound->return,0,return,0
edited.4,14,12,func_dec->compound->return,0,return,0
