node,Line,Column,semanic,controlnum,feature,complexity
Point.1,2,7,class_dec,0,dec,0
public:.1,3,3,class_dec->spec_dec,0,dec,0
Point.2,4,3,class_dec->cons,0,dec,1
std.1,5,5,class_dec->cons->compound->label,0,dec,0
cout.2,5,8,class_dec->cons->compound->label,0,dec,0
:.1,5,8,class_dec->cons->compound->label,0,dec,0
main.1,9,5,func_dec,0,dec,1
t1.1,11,9,func_dec->compound->dec->var_dec,0,dec,1
Point.3,11,9,func_dec->compound->dec->var_dec,0,dec,1
t2.1,11,14,func_dec->compound->dec->var_dec,0,dec,1
return.1,12,3,func_dec->compound->return,0,return,0
0.1,12,10,func_dec->compound->return,0,return,0
