node,Line,Column,semanic,controlnum,feature,complexity
std.1,3,17,USING_DIRECTIVE->ref,0,dec,0
afunc.1,4,5,func_dec,0,dec,1
terms.1,4,15,func_dec,0,dec,1
if.1,5,3,func_dec->compound->if,1,control,1
terms.2,5,7,func_dec->compound->if,1,control,1
0.1,5,16,func_dec->compound->if,1,control,1
return.1,6,3,func_dec->compound->if->compound->return,1,return,0
1.1,6,10,func_dec->compound->if->compound->return,1,return,0
return.2,8,3,func_dec->compound->if->compound->return,1,return,4
pow.1,8,10,func_dec->compound->if->compound->return,1,return,4
std.2,8,10,func_dec->compound->if->compound->return,1,return,4
pow.2,8,15,func_dec->compound->if->compound->return,1,return,4
2.1,8,19,func_dec->compound->if->compound->return,1,return,4
terms.3,8,22,func_dec->compound->if->compound->return,1,return,4
afunc.2,8,30,func_dec->compound->if->compound->return,1,return,4
terms.4,8,36,func_dec->compound->if->compound->return,1,return,4
1.2,8,44,func_dec->compound->if->compound->return,1,return,4
