node,Line,Column,semanic,controlnum,feature,complexity
afunc.1,3,5,func_dec,0,dec,3
std.1,3,17,func_dec,0,dec,3
vector.1,3,22,func_dec,0,dec,3
numbers.1,3,35,func_dec,0,dec,3
output.1,4,7,func_dec->compound->dec->var_dec,0,dec,0
0.1,4,16,func_dec->compound->dec->var_dec,0,dec,0
for.1,5,3,func_dec->compound->for,1,control,1
num.1,5,12,func_dec->compound->for,1,control,1
:.1,5,16,func_dec->compound->for,1,control,1
numbers.2,5,18,func_dec->compound->for,1,control,1
if.1,6,5,func_dec->compound->for->compound->if,2,control,5
num.2,6,8,func_dec->compound->for->compound->if,2,control,5
2.1,6,14,func_dec->compound->for->compound->if,2,control,5
0.2,6,19,func_dec->compound->for->compound->if,2,control,5
num.3,6,24,func_dec->compound->for->compound->if,2,control,5
4.1,6,30,func_dec->compound->for->compound->if,2,control,5
0.3,6,35,func_dec->compound->for->compound->if,2,control,5
output.2,7,7,func_dec->compound->for->compound->if->compound->coumpund_assign->ref_dec,2,dec,3
num.4,7,17,func_dec->compound->for->compound->if->compound->coumpund_assign->ref_dec,2,dec,3
num.5,7,23,func_dec->compound->for->compound->if->compound->coumpund_assign->ref_dec,2,dec,3
num.6,7,29,func_dec->compound->for->compound->if->compound->coumpund_assign->ref_dec,2,dec,3
return.1,10,3,func_dec->compound->return,0,return,0
output.3,10,10,func_dec->compound->return,0,return,0
