node,Line,Column,semanic,controlnum,feature,complexity
main.1,1,5,func_dec,0,dec,1
a.1,2,8,func_dec->compound->dec->var_dec,0,dec,0
1.1,2,10,func_dec->compound->dec->var_dec,0,dec,0
b.1,2,12,func_dec->compound->dec->var_dec,0,dec,0
2.1,2,14,func_dec->compound->dec->var_dec,0,dec,0
c.1,2,16,func_dec->compound->dec->var_dec,0,dec,0
3.1,2,18,func_dec->compound->dec->var_dec,0,dec,0
==.1,3,4,func_dec->compound->bi_op,0,cal,0
c.2,3,4,func_dec->compound->bi_op,0,cal,0
a==b.1,3,6,func_dec->compound->bi_op,0,cal,0
==.2,3,6,func_dec->compound->bi_op,0,cal,0
a.2,3,6,func_dec->compound->bi_op,0,cal,0
b.2,3,9,func_dec->compound->bi_op,0,cal,0
return.1,5,4,func_dec->compound->return,0,return,0
0.1,5,11,func_dec->compound->return,0,return,0
