node,Line,Column,semanic,controlnum,feature,complexity
mysteryOp.1,1,5,func_dec,0,dec,1
x.1,1,19,func_dec,0,dec,1
y.1,1,26,func_dec,0,dec,1
result.1,2,7,func_dec->compound->dec->var_dec,0,dec,0
0.1,2,14,func_dec->compound->dec->var_dec,0,dec,0
while.1,3,3,func_dec->compound->while,1,control,1
>.1,3,9,func_dec->compound->while,1,control,1
y.2,3,9,func_dec->compound->while,1,control,1
0.2,3,11,func_dec->compound->while,1,control,1
if.1,4,3,func_dec->compound->while->compound->if,2,control,4
!=.1,4,6,func_dec->compound->while->compound->if,2,control,4
y.3,4,6,func_dec->compound->while->compound->if,2,control,4
2.1,4,8,func_dec->compound->while->compound->if,2,control,4
0.3,4,11,func_dec->compound->while->compound->if,2,control,4
+=.1,5,3,func_dec->compound->while->compound->if->compound->coumpund_assign,2,cal,2
result.2,5,3,func_dec->compound->while->compound->if->compound->coumpund_assign,2,cal,2
x.2,5,11,func_dec->compound->while->compound->if->compound->coumpund_assign,2,cal,2
*=.1,6,3,func_dec->compound->while->compound->coumpund_assign,1,cal,2
x.3,6,3,func_dec->compound->while->compound->coumpund_assign,1,cal,2
2.2,6,6,func_dec->compound->while->compound->coumpund_assign,1,cal,2
/=.1,7,3,func_dec->compound->while->compound->coumpund_assign,1,cal,2
y.4,7,3,func_dec->compound->while->compound->coumpund_assign,1,cal,2
2.3,7,6,func_dec->compound->while->compound->coumpund_assign,1,cal,2
return.1,9,3,func_dec->compound->return,0,return,0
result.3,9,10,func_dec->compound->return,0,return,0
